struttura,non critici,delta,terapia intensiva,delta,dimessi,decessi,delta
Azienda Ospedale Università Padova,45,-2,22,+3),36,5,0
"Azienda Ospedaliera Universitaria
Integrata di Verona - Borgo Roma",34,5,9,+1),4,2,0
"Azienda Ospedaliera Universitaria
Integrata di Verona - Borgo Trento",0,0,3,+2),,,0
ULSS 1 - Ospedale Belluno,10,0,0,0,,,0
ULSS 1 - Ospedale Feltre,5,4,0,0,,,0
ULSS 2 - Ospedale Treviso,55,-33,7,+1),41,21,+7)
ULSS 2 - Ospedale Conegliano,14,1,8,0,,,0
ULSS 2 - Ospedale Vittorio Veneto,7,1,0,0,,1,+1)
ULSS 2 - Ospedale Castelfranco,4,0,0,0,,1,0
ULSS 2 - Ospedale Montebelluna,2,1,,,,,0
ULSS 3 - Ospedale Mestre,33,0,14,+3),1,4,0
ULSS 3 - Ospedale Venezia,10,0,5,0,2,1,0
ULSS 3 - Ospedale Mirano,16,0,9,+2),,,0
ULSS 3 - Ospedale Dolo,6,4,0,0,,,0
ULSS 3 - Ospedale Chioggia,1,0,0,0,,1,0
ULSS 4 - Ospedale Jesolo,5,4,3,+2),,,0
ULSS 5 - Ospedale Rovigo,5,0,1,0,3,,0
ULSS 6 - Ospedale Schiavonia,37,8,5,+1),,1,0
ULSS 6 - Ospedale Piove di Sacco,6,0,1,0,,,0
ULSS 6 - Ospedale Cittadella,10,2,0,0,,1,0
ULSS 7 - Ospedale Santorso,9,0,0,0,4,,0
ULSS 7 - Ospedale  Bassano,3,1,0,-1,,,0
ULSS 8 - Ospedale Vicenza,13,2,8,0,6,1,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,,,0
ULSS 9 - Ospedale Legnago,7,-4,3,0,,1,0
ULSS 9 - Ospedale Villafranca,3,0,0,0,,,0
Ospedale Sacro Cuore Don Calabria,15,1,3,+2),,,0
Ospedale P. Pederzoli-Peschiera,2,2,0,0,,,0
