struttura,non critici,terapia intensiva,dimessi,decessi,delta,delta,delta
Azienda Ospedale Università Padova,9,1,299,64,0,0,0
Ospedale Sant'Antonio,0,0,0,1,0,0,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",8,0,209,113,0,0,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",8,6,73,32,-1,0,0
ULSS 1 - Ospedale Belluno,8,3,86,50,-5,0,+1)
ULSS 1 - Ospedale Feltre,0,0,12,6,0,0,0
ULSS 2 - Ospedale Treviso,10,4,215,104,0,0,0
ULSS 2 - Ospedale Oderzo,0,0,21,21,0,0,0
ULSS 2 - Ospedale Conegliano,0,1,18,20,0,0,0
ULSS 2 - Ospedale Vittorio Veneto °,24,0,189,33,0,0,0
ULSS 2 - Ospedale Castelfranco,0,0,40,8,0,0,0
ULSS 2 - Ospedale Montebelluna,0,0,51,12,0,0,0
Ospedale S. Camillo-Treviso °,0,0,53,4,0,0,0
Ospedale Riabilitativo  Motta di Livenza - Treviso,0,0,0,0,0,0,0
Casa di Cura Giovanni XXIII Monastier -TV,0,0,0,0,0,0,0
ULSS 3 - Ospedale Mestre,2,0,76,39,+1),0,0
ULSS 3 - Ospedale Venezia,0,0,26,15,0,0,0
ULSS 3 - Ospedale Mirano,0,0,9,9,0,0,0
ULSS 3 - Ospedale Dolo °,63,4,112,94,-2,0,0
ULSS 3 - Ospedale Chioggia,0,0,2,3,0,0,0
ULSS 3 - Ospedale di Noale,0,0,0,3,0,0,0
Ospedale Villa Salus (VE)°,19,0,95,10,0,0,0
Casa di cura San Marco - Mestre (VE),0,0,0,0,0,0,0
ULSS 4 - Ospedale Jesolo °,13,2,84,26,0,0,0
Casa di Cura Rizzola,0,0,16,1,0,0,0
ULSS 5 - Ospedale Rovigo,0,0,24,5,0,0,0
ULSS 5 - Ospedale Trecenta °,14,0,28,24,0,0,0
ULSS 5 - Ospedale Adria,0,0,3,0,0,0,0
ULSS 6 - Ospedale Schiavonia °,36,5,254,99,-4,0,0
ULSS 6 - Ospedale Piove di Sacco,1,0,1,0,+1),0,0
ULSS 6 - Ospedale Cittadella,1,0,2,7,0,0,0
ULSS 6 - Ospedale Camposampiero,0,0,3,7,0,0,0
ULSS 6 - Ospedale Conselve,0,0,0,0,0,0,0
Casa di cura Villa Maria (PD),0,0,0,0,0,0,0
ULSS 7 - Ospedale Santorso °,45,2,203,70,+2),0,+2)
ULSS 7 - Ospedale Bassano,0,0,20,13,0,0,0
ULSS 7 - Ospedale Asiago,0,0,8,11,0,0,0
ULSS 8 - Ospedale Vicenza,27,2,128,93,+1),0,0
ULSS 8 - Ospedale Noventa Vicentina,5,0,50,2,0,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,1,0,0,0
ULSS 8 - Ospedale Valdagno,0,0,24,5,0,0,0
ULSS 9 - Ospedale Legnago,10,1,65,49,0,0,0
ULSS 9 - Ospedale San Bonifacio,7,0,26,25,0,0,0
ULSS 9 - Ospedale Villafranca °,57,4,154,97,-7,-1,+3)
ULSS 9 - Ospedale Marzana,18,0,47,5,0,0,0
ULSS 9 - Ospedale Bussolengo,16,0,41,3,+1),0,0
ULSS 9 - Ospedale San Biagio di Bovolone,0,0,0,0,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,13,3,124,35,0,0,0
Ospedale P. Pederzoli-Peschiera,8,1,86,38,0,0,0
Istituto Oncologico Veneto,0,0,2,1,0,0,0
Ospedale di Comunità Belluno (BL),16,,26,15,+4),0
Ospedale di Comunità  Agordo (BL),19,,19,1,-1,0
Ospedale di Comunità di Castelfranco  (TV),0,,4,0,0,0
Struttura COVID - Vedelago (TV),17,,32,3,0,0
Struttura COVID - Ormelle (TV),0,,24,4,0,0
Ospedale di Comunità Vittorio Veneto (TV),7,,30,2,0,0
Ospedale di Comunità SS. Giovanni e Paolo (VE),0,,0,0,0,0
Ospedale di Comunità Casa di Cura Rizzola (VE),0,,11,1,0,0
Ospedale di Cinto Caomaggiore (VE),1,,0,0,0,0
Ospedale di Comunità Villa Maria (PD),8,,33,1,0,0
Ospedale di Comunità Camposampiero (PD),5,,17,1,0,0
Ospedale di Comunità Montagnana (PD),0,,0,0,0,0,
