struttura,non critici,delta,terapia intensiva,delta,dimessi,decessi,delta
Azienda Ospedale Università Padova,110,-11,31,+1),101,17,+4)
"Azienda Ospedale Università Padova-
Ospedale S. Antonio",0,0,0,0,0,0,0
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Roma",82,-6,22,0,83,41,0
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Trento",35,-4,35,0,17,13,+1)
ULSS 1 - Ospedale Belluno,53,+5),7,-2,11,6,0
ULSS 1 - Ospedale Feltre,11,+2),0,-1,5,4,0
ULSS 1 - Ospedale Agordo,12,+1),0,0,1,0,0
ULSS 2 - Ospedale Treviso,116,-10,23,-3,121,57,+2)
ULSS 2 - Ospedale Oderzo,19,+1),0,0,2,5,0
ULSS 2 - Ospedale Conegliano,27,+3),9,-2,13,10,0
ULSS 2 - Ospedale Vittorio Veneto °,101,-1,6,0,15,6,0
ULSS 2 - Ospedale Castelfranco,24,-6,0,0,8,6,0
ULSS 2 - Ospedale Montebelluna,31,-3,7,0,6,6,+1)
Ospedale S. Camillo-Treviso °,38,+10),0,0,0,0,0
ULSS 3 - Ospedale Mestre,46,0,16,+1),20,18,+1)
ULSS 3 - Ospedale Venezia,13,0,6,-1,11,5,0
ULSS 3 - Ospedale Mirano,0,-4,12,0,8,4,0
ULSS 3 - Ospedale Dolo °,82,+2),17,+1),15,9,+1)
ULSS 3 - Ospedale Chioggia,1,0,1,0,0,2,0
Ospedale Villa Salus-Mestre °,17,-5,0,0,9,2,+2)
ULSS 4 - Ospedale San Dona' di Piave,0,0,0,0,0,0,0
ULSS 4 - Ospedale Jesolo °,53,-8,14,+1),12,11,+2)
ULSS 5 - Ospedale Rovigo,25,+1),0,0,9,2,0
ULSS 5 - Ospedale Trecenta °,0,0,8,+1),0,0,0
ULSS 5 - Ospedale Adria,0,0,0,0,0,0,0
ULSS 6 - Ospedale Schiavonia °,121,-1,23,0,57,25,+2)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,6,0,9,2,0
ULSS 6 - Ospedale Camposampiero,4,+2),0,0,0,1,0
Ospedale di comunità Villa Maria - Padova,2,+2),0,0,0,0,0
ULSS 7 - Ospedale Santorso °,51,-1,13,+1),14,8,+3)
ULSS 7 - Ospedale Bassano,32,0,6,0,0,8,0
ULSS 7 - Ospedale Asiago,20,0,0,0,0,8,0
ULSS 8 - Ospedale Vicenza,64,-1,27,0,27,24,0
ULSS 8 - Ospedale Noventa Vicentina,20,0,0,0,4,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,0
ULSS 8 - Ospedale Valdagno,10,0,0,0,0,1,0
ULSS 8 - Ospedale Lonigo,0,0,0,0,0,0,0
ULSS 9 - Ospedale Legnago,57,+5),8,0,2,16,+2)
ULSS 9 - Ospedale San Bonifacio,18,+6),1,0,2,2,+1)
ULSS 9 - Ospedale Villafranca °,116,-13,20,+1),13,6,+3)
ULSS 9 - Ospedale Marzana,2,+1),0,0,0,0,0
IRCCS - IOV,0,0,0,0,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,65,-1,10,+1),20,11,0
Ospedale P. Pederzoli-Peschiera,46,+22),9,0,9,6,+4)
