struttura,non critici,delta,terapia intensiva,delta,dimessi,decessi,delta
Azienda Ospedale Università Padova,115,+10),31,+2),93,13,0
"Azienda Ospedale Università Padova-
Ospedale S. Antonio",0,0,0,0,0,0,0
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Roma",76,-2,22,-1,76,40,+1)
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Trento",39,+1),34,-1,13,9,0
ULSS 1 - Ospedale Belluno,48,+1),9,+2),11,6,0
ULSS 1 - Ospedale Feltre,9,-1,1,+1),4,4,+1)
ULSS 1 - Ospedale Agordo,11,0,0,0,1,0,0
ULSS 2 - Ospedale Treviso,126,+3),26,+2),105,55,+3)
ULSS 2 - Ospedale Oderzo,18,0,0,0,2,5,0
ULSS 2 - Ospedale Conegliano,24,+1),11,0,13,10,0
ULSS 2 - Ospedale Vittorio Veneto °,101,0,6,0,13,6,+1)
ULSS 2 - Ospedale Castelfranco,30,-1,0,0,3,6,0
ULSS 2 - Ospedale Montebelluna,34,0,7,-1,3,5,+1)
Ospedale S. Camillo-Treviso °,28,+3),0,0,0,0,0
ULSS 3 - Ospedale Mestre,45,-5,15,-1,19,17,+1)
ULSS 3 - Ospedale Venezia,13,-2,7,0,10,5,0
ULSS 3 - Ospedale Mirano,4,+4),12,-1,8,4,0
ULSS 3 - Ospedale Dolo °,79,+4),16,+2),11,8,+1)
ULSS 3 - Ospedale Chioggia,1,0,1,0,0,2,0
Ospedale Villa Salus-Mestre °,22,+1),0,0,3,0,0
ULSS 4 - Ospedale San Dona' di Piave,0,0,0,0,0,0,0
ULSS 4 - Ospedale Jesolo °,60,+6),14,+2),4,9,0
ULSS 5 - Ospedale Rovigo,21,+3),0,-1,9,2,0
ULSS 5 - Ospedale Trecenta °,0,0,7,0,0,0,0
ULSS 5 - Ospedale Adria,0,0,0,0,0,0,0
ULSS 6 - Ospedale Schiavonia °,123,+8),22,0,48,23,+3)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,6,+2),9,2,0
ULSS 6 - Ospedale Camposampiero,2,0,0,0,0,1,0
ULSS 7 - Ospedale Santorso °,53,+22),11,0,10,5,+1)
ULSS 7 - Ospedale Bassano,32,-7,6,0,0,8,0
ULSS 7 - Ospedale Asiago,20,0,0,0,0,8,0
ULSS 8 - Ospedale Vicenza,62,-2,27,0,26,24,+2)
ULSS 8 - Ospedale Noventa Vicentina,18,0,0,0,4,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,0
ULSS 8 - Ospedale Valdagno,10,0,0,0,0,1,0
ULSS 8 - Ospedale Lonigo,0,0,0,0,0,0,0
ULSS 9 - Ospedale Legnago,48,-2,8,0,2,14,+1)
ULSS 9 - Ospedale San Bonifacio,10,-1,1,+1),1,0,0
ULSS 9 - Ospedale Villafranca °,124,-3,18,+1),3,3,+2)
ULSS 9- Ospedale Marzana,1,+1),0,0,0,0,0
IRCCS - IOV,0,0,0,0,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,59,+1),9,+1),22,11,+2)
Ospedale P. Pederzoli-Peschiera,24,0,9,0,9,2,+1)
