struttura,non critici,delta,terapia intensiva,delta,dimessi,decessi,delta
Azienda Ospedale Università Padova,97,0,19,-1,209,46,+1)
Ospedale Sant'Antonio,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",54,-1,15,0,153,86,+1)
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",28,0,25,0,36,20,0
ULSS 1 - Ospedale Belluno,38,0,9,0,47,22,+1)
ULSS 1 - Ospedale Feltre,1,0,0,0,11,5,0
ULSS 2 - Ospedale Treviso,66,0,16,0,160,82,0
ULSS 2 - Ospedale Oderzo,7,0,7,0,14,11,0
ULSS 2 - Ospedale Conegliano,0,0,5,0,17,19,0
ULSS 2 - Ospedale Vittorio Veneto °,67,0,4,0,112,20,0
ULSS 2 - Ospedale Castelfranco,12,0,0,0,30,7,0
ULSS 2 - Ospedale Montebelluna,18,0,7,0,36,10,0
Ospedale S. Camillo-Treviso °,44,0,0,0,10,1,0
Ospedale civ. Motta di Livenza - Treviso,1,0,0,0,0,0,0
ULSS 3 - Ospedale Mestre,28,+1),13,0,56,31,0
ULSS 3 - Ospedale Venezia,10,0,6,0,16,11,0
ULSS 3 - Ospedale Mirano,1,0,6,0,8,6,0
ULSS 3 - Ospedale Dolo °,79,+1),10,0,57,43,0
ULSS 3 - Ospedale Chioggia,1,0,0,0,0,3,0
Ospedale Villa Salus-Mestre °,39,0,0,0,54,4,0
ULSS 4 - Ospedale San Donà di Piave,1,0,0,0,0,0,0
ULSS 4 - Ospedale Jesolo °,40,+2),4,0,49,22,0
ULSS 4 - Ospedale Portogruaro,0,-1,0,0,0,0,0
Casa di Cura Rizzola,10,0,0,0,7,1,0
ULSS 5 - Ospedale Rovigo,2,0,0,0,20,6,0
ULSS 5 - Ospedale Trecenta °,47,+1),9,0,4,11,-1**
ULSS 5 - Ospedale Adria,1,0,0,0,1,0,0
ULSS 6 - Ospedale Schiavonia °,117,+1),14,0,161,62,+2)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,4,0,2,3,0
ULSS 6 - Ospedale Camposampiero,4,0,0,0,1,6,0
ULSS 7 - Ospedale Santorso °,136,-3,11,-2,71,31,+2)
ULSS 7 - Ospedale Bassano,1,0,3,0,19,12,0
ULSS 7 - Ospedale Asiago,1,-1,0,0,7,10,0
ULSS 8 - Ospedale Vicenza,54,-5,22,0,75,53,+3)
ULSS 8 - Ospedale Noventa Vicentina,21,0,0,0,24,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,18,-1,0,0,7,3,0
ULSS 9 - Ospedale Legnago,58,-1,6,0,28,36,+1)
ULSS 9 - Ospedale San Bonifacio,28,+7),3,0,17,13,0
ULSS 9 - Ospedale Villafranca °,100,-3,10,-2,82,42,+2)
ULSS 9 - Ospedale Marzana,67,0,0,0,2,1,0
ULSS 9 - Ospedale Bussolengo,19,+1),0,0,5,1,0
Ospedale Sacro Cuore Don Calabria-Negrar,66,-3,8,0,76,26,+1)
Ospedale P. Pederzoli-Peschiera,38,-2,4,0,54,25,+1)
Ospedale di Comunità Belluno (BL),14,0,,,10,5,0
Ospedale di Comunità  Agordo (BL),13,-1,,,3,1,0
Ospedale di Comunità di Castelfranco  (TV),1,0,,,0,0,0
Struttura COVID - Vedelago (TV),31,0,,,3,2,0
Struttura COVID - Ormelle (TV),24,0,,,2,4,0
Ospedale di Comunità Vittorio Veneto (TV),27,0,,,11,2,0
Ospedale di Comunità SS. Giovanni e Paolo (VE),1,0,,,0,0,0
Ospedale di Comunità Casa di Cura Rizzola (VE),7,0,,,3,0,0
Ospedale di Comunità Villa Maria (PD),10,0,,,12,1,0
Ospedale di Comunità Camposampiero (PD),8,0,,,11,0,0
Ospedale di Comunità Marostica (VI),18,0,,,2,2,0
