struttura,non critici,terapia intensiva,dimessi,decessi,delta,delta,delta
Azienda Ospedale Università Padova,9,2,305,64,0,0,0
Ospedale Sant'Antonio,0,0,0,1,0,0,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",3,0,213,113,0,0,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",8,2,78,32,0,0,0
ULSS 1 - Ospedale Belluno,7,1,87,50,0,0,0
ULSS 1 - Ospedale Feltre,0,0,12,6,0,0,0
ULSS 2 - Ospedale Treviso,9,1,219,105,-1,0,0
ULSS 2 - Ospedale Oderzo,0,0,21,21,0,0,0
ULSS 2 - Ospedale Conegliano,0,1,18,20,0,0,0
ULSS 2 - Ospedale Vittorio Veneto °,17,0,196,34,+3),0,0
ULSS 2 - Ospedale Castelfranco,0,0,40,8,0,0,0
ULSS 2 - Ospedale Montebelluna,0,0,51,12,0,0,0
Ospedale S. Camillo-Treviso °,0,0,53,4,0,0,0
Ospedale Riabilitativo  Motta di Livenza - Treviso,0,0,0,0,0,0,0
Casa di Cura Giovanni XXIII Monastier -TV,0,0,1,0,0,0,0
ULSS 3 - Ospedale Mestre,1,0,75,41,0,0,0
ULSS 3 - Ospedale Venezia,0,0,28,15,0,0,0
ULSS 3 - Ospedale Mirano,0,0,9,10,0,0,+1)
ULSS 3 - Ospedale Dolo °,49,4,121,98,-5,0,+1)
ULSS 3 - Ospedale Chioggia,0,0,2,3,0,0,0
ULSS 3 - Ospedale di Noale,0,0,0,4,0,0,0
Ospedale Villa Salus (VE)°,21,0,99,12,0,0,+1)
Casa di cura San Marco - Mestre (VE),0,0,0,0,0,0,0
ULSS 4 - Ospedale Jesolo °,7,0,97,29,+1),-1,0
ULSS 4 - Ospedale Portogruaro,0,0,0,1,0,0,+1)
Casa di Cura Rizzola,0,0,15,1,0,0,0
ULSS 5 - Ospedale Rovigo,2,0,25,5,0,0,0
ULSS 5 - Ospedale Trecenta °,12,0,34,26,0,0,0
ULSS 5 - Ospedale Adria,0,0,4,0,0,0,0
ULSS 6 - Ospedale Schiavonia °,17,7,267,103,-2,0,0
ULSS 6 - Ospedale Piove di Sacco,0,0,2,0,0,0,0
ULSS 6 - Ospedale Cittadella,0,0,2,7,0,0,0
ULSS 6 - Ospedale Camposampiero,2,0,3,7,0,0,0
ULSS 6 - Ospedale Conselve,0,0,0,0,0,0,0
Casa di cura Villa Maria (PD),0,0,1,0,0,0,0
ULSS 7 - Ospedale Santorso °,39,1,224,76,-5,+1),0
ULSS 7 - Ospedale Bassano,0,0,20,13,0,0,0
ULSS 7 - Ospedale Asiago,0,0,8,11,0,0,0
ULSS 8 - Ospedale Vicenza,24,2,134,97,+1),+1),+1)
ULSS 8 - Ospedale Noventa Vicentina,3,0,52,2,0,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,1,0,0,0
ULSS 8 - Ospedale Valdagno,0,0,23,5,0,0,0
ULSS 9 - Ospedale Legnago,0,1,69,49,-5,0,0
ULSS 9 - Ospedale San Bonifacio,4,0,26,26,0,0,0
ULSS 9 - Ospedale Villafranca °,45,1,172,102,-1,0,+3)
ULSS 9 - Ospedale Marzana,14,0,51,6,0,0,0
ULSS 9 - Ospedale Bussolengo,17,0,49,3,+1),0,0
ULSS 9 - Ospedale San Biagio di Bovolone,0,0,0,0,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,13,2,130,36,0,0,0
Ospedale P. Pederzoli-Peschiera,6,2,93,38,0,0,0
Istituto Oncologico Veneto,0,0,2,1,0,0,0
Ospedale di Comunità Belluno (BL),14,,28,16,,0,0
Ospedale di Comunità  Agordo (BL),11,,22,1,0,0,
Ospedale di Comunità Alano di Piave (BL),2,,0,0,0,0,
Ospedale di Comunità di Castelfranco  (TV),0,,5,0,0,0,
Struttura COVID - Vedelago (TV),11,,35,4,-1,+1),
Struttura COVID - Ormelle (TV),0,,24,4,0,0,
Ospedale di Comunità Vittorio Veneto (TV),8,,31,2,0,0,
Ospedale di Comunità SS. Giovanni e Paolo (VE),0,,0,0,0,0,
Ospedale di Comunità Casa di Cura Rizzola (VE),0,,11,1,0,0,
Ospedale di Cinto Caomaggiore (VE),0,,0,0,0,0,
Ospedale di Comunità Villa Maria (PD),7,,35,1,0,0,
Ospedale di Comunità Camposampiero (PD),6,,19,1,+1),0,
Ospedale di Comunità Montagnana (PD),0,,0,0,0,0,
Ospedale di Comunità Marostica (VI),7,,14,5,0,0,
Ospedale di Comunità Valeggio sul Mincio,0,,0,0,0,0,
