struttura,non critici,delta,terapia intensiva,delta,negativizzati ricoverati,dimessi,decessi,delta
Azienda Ospedale Università Padova,49,-1,12,0,39,288,63,0
Ospedale Sant'Antonio,0,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",19,-2,7,0,7,202,111,+1)
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",14,+1),10,0,10,71,30,0
ULSS 1 - Ospedale Belluno,31,-4,6,0,1,76,45,+2)
ULSS 1 - Ospedale Feltre,0,0,0,0,0,12,6,0
ULSS 2 - Ospedale Treviso,29,+3),5,-2,8,208,100,0
ULSS 2 - Ospedale Oderzo,5,0,1,0,4,19,21,0
ULSS 2 - Ospedale Conegliano,2,0,1,0,0,18,20,0
ULSS 2 - Ospedale Vittorio Veneto °,48,+2),0,0,11,178,31,0
ULSS 2 - Ospedale Castelfranco,1,+1),0,0,1,40,8,0
ULSS 2 - Ospedale Montebelluna,5,-2,1,+1),5,51,12,0
Ospedale S. Camillo-Treviso °,11,-2,0,0,5,48,4,0
Ospedale Riabilitativo  Motta di Livenza - Treviso,8,0,0,0,8,0,0,0
ULSS 3 - Ospedale Mestre,8,-3,6,+3),10,78,38,0
ULSS 3 - Ospedale Venezia,4,0,0,0,4,27,14,0
ULSS 3 - Ospedale Mirano,0,-1,1,+1),1,9,9,0
ULSS 3 - Ospedale Dolo °,82,-1,6,-3,22,95,83,+4)
ULSS 3 - Ospedale Chioggia,0,0,0,0,0,2,3,0
ULSS 3 - Ospedale di Noale,0,0,0,0,0,0,2,0
Ospedale Villa Salus (VE)°,36,0,0,0,7,85,8,0
ULSS 4 - Ospedale Jesolo °,28,0,5,0,19,73,25,0
ULSS 4- Ospedale San Donà,1,0,0,0,1,0,0,0
Casa di Cura Rizzola,1,0,0,0,0,15,1,0
ULSS 5 - Ospedale Rovigo,1,0,0,0,1,23,5,0
ULSS 5 - Ospedale Trecenta °,35,0,4,0,15,17,24,0
ULSS 5 - Ospedale Adria,2,0,0,0,2,1,0,0
ULSS 6 - Ospedale Schiavonia °,67,-3,6,+1),10,241,99,+1)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,1,0,0,0,0,2,7,0
ULSS 6 - Ospedale Camposampiero,3,0,0,0,3,3,7,0
ULSS 6 - Ospedale Conselve,1,0,0,0,1,0,0,0
ULSS 7 - Ospedale Santorso °,112,+7),5,0,53,150,65,0
ULSS 7 - Ospedale Bassano,0,-1,0,0,0,20,13,0
ULSS 7 - Ospedale Asiago,0,-2,0,0,0,8,10,0
ULSS 8 - Ospedale Vicenza,40,0,9,0,10,112,89,0
ULSS 8 - Ospedale Noventa Vicentina,18,0,0,0,8,39,2,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,0,0,0,0,0,24,5,0
ULSS 9 - Ospedale Legnago,29,+1),3,-1,13,61,47,0
ULSS 9 - Ospedale San Bonifacio,9,+1),0,0,1,22,25,0
ULSS 9 - Ospedale Villafranca °,91,0,8,0,8,142,88,-1°°
ULSS 9 - Ospedale Marzana,56,-1,0,0,28,29,4,0
ULSS 9 - Ospedale Bussolengo,21,-2,0,0,8,34,3,0
ULSS 9 - Ospedale San Biagio di Bovolone,3,0,0,0,3,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,33,0,4,0,16,119,33,0
Ospedale P. Pederzoli-Peschiera,39,-3,1,0,16,79,39,+1)
Istituto Oncologico Veneto,0,0,0,0,0,2,1,0
Ospedale di Comunità Belluno (BL),14,-4,,,1,25,12,+1)
Ospedale di Comunità  Agordo (BL),26,0,,,5,13,1,0
Ospedale di Comunità di Castelfranco  (TV),2,0,,,0,3,0,0
Struttura COVID - Vedelago (TV),16,0,,,9,30,3,0
Struttura COVID - Ormelle (TV),0,0,,,0,24,4,0
Ospedale di Comunità Vittorio Veneto (TV),16,+2),,,9,28,2,0
Ospedale di Comunità Casa di Cura Rizzola (VE),1,0,,,1,9,1,0
Ospedale di Cinto Caomaggiore (VE),3,0,,,2,0,0,0
Ospedale di Comunità Villa Maria (PD),9,0,,,5,27,1,0
Ospedale di Comunità Camposampiero (PD),13,+2),,,6,15,1,0
Ospedale di Comunità Marostica (VI),14,-3,,,0,10,3,0
