struttura,non critici,delta,terapia intensiva,delta,dimessi,decessi,delta
Azienda Ospedale Università Padova,34,-7,17,+1),30,3,0
"Azienda Ospedaliera Universitaria
Integrata di Verona - Borgo Roma",20,0,2,-1,3,2,0
"Azienda Ospedaliera Universitaria
Integrata di Verona - Borgo Trento",0,0,2,+1),,,0
ULSS 1 - Ospedale Belluno,8,0,,0,,,0
ULSS 1 - Ospedale di Feltre,1,0,,0,,,0
ULSS 2 - Ospedale Treviso,70,+8),7,+1),5,13,0
ULSS 2 - Ospedale Conegliano,4,+3),8,0,,,0
ULSS 2 - Ospedale Vittorio Veneto,4,+3),,0,,,0
ULSS 2 - Ospedale Castelfranco,5,+1),,0,,1,0
ULSS 3 - Ospedale Mestre,19,-1,11,0,1,4,0
ULSS 3 - Ospedale Venezia,8,0,3,0,2,1,0
ULSS 3 - Ospedale Mirano,5,+3),5,0,,,0
ULSS 3 - Ospedale Dolo,2,0,,0,,,0
ULSS 3 - Ospedale Chioggia,1,0,,0,,1,0
ULSS 5 - Ospedale Rovigo,4,0,1,0,3,,0
ULSS 6 - Ospedale Schiavonia^,18,+18),,0,,1,0
ULSS 6 - Ospedale Piove di Sacco,4,0,1,0,,,0
ULSS 7 - Ospedale di Santorso,2,0,,0,4,,0
ULSS 7 - Ospedale di Bassano,2,+1),,0,,,0
ULSS 8 - Ospedale Vicenza,7,0,8,0,5,,0
ULSS 9 - Ospedale Legnago,5,0,3,0,,,0
ULSS 9 - Ospedale Villafranca,3,0,,0,,,0
Ospedale Sacro Cuore Don Calabria,7,0,1,0,,,0
