struttura,non critici,delta,terapia intensiva,delta,dimessi,decessi,delta
Azienda Ospedale Università Padova,45,-2,21,0,38,6,0
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Roma",31,0,10,0,8,4,+1)
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Trento",1,+2),2,0,,,
ULSS 1 - Ospedale Belluno,15,+2),1,+1),1,1,0
ULSS 1 - Ospedale Feltre,6,+1),0,0,,,
ULSS 2 - Ospedale Treviso,56,0,14,+1),43,27,+1)
ULSS 2 - Ospedale Conegliano,5,0,10,0,,1,0
ULSS 2 - Ospedale Vittorio Veneto,2,0,0,0,,1,0
ULSS 2 - Ospedale Castelfranco,7,+2),0,0,,1,0
ULSS 2 - Ospedale Montebelluna,0,0,0,0,,1,+1)
ULSS 3 - Ospedale Mestre,32,+3),12,0,3,7,0
ULSS 3 - Ospedale Venezia,9,-1,4,0,4,1,0
ULSS 3 - Ospedale Mirano,12,+1),11,+1),1,,
ULSS 3 - Ospedale Dolo,17,+4),0,0,,,
ULSS 3 - Ospedale Chioggia,1,0,0,0,,1,0
ULSS 4 - Ospedale San Dona' di Piave,0,0,0,0,,,
ULSS 4 - Ospedale Jesolo,8,+4),7,0,,,
ULSS 5 - Ospedale Rovigo,4,-1,0,0,5,0,0
ULSS 5 - Ospedale Adria,1,+1),0,0,,,
ULSS 5 - Ospedale Trecenta,0,0,2,0,,,
ULSS 6 - Ospedale Schiavonia,48,+9),7,+1),1,1,0
ULSS 6 - Ospedale Piove di Sacco,4,+2),1,0,,1,0
ULSS 6 - Ospedale Cittadella,8,-1,0,0,,2,+1)
ULSS 7 - Ospedale Santorso,11,0,0,0,4,,
ULSS 7 - Ospedale Bassano,9,+4),1,0,,1,0
ULSS 7 - Ospedale Asiago,16,+16),0,0,1,,
ULSS 8 - Ospedale Vicenza,11,-3,15,+1),9,1,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,,,
ULSS 9 - Ospedale Legnago,8,-1,4,+1),,1,0
ULSS 9 - Ospedale San Bonifacio,2,0,0,0,,,
ULSS 9 - Ospedale Villafranca,6,0,0,0,,,
Ospedale Sacro Cuore Don Calabria-Negrar,33,+6),3,0,,2,+1)
Ospedale P. Pederzoli-Peschiera,8,+1),0,0,,,
