struttura,non critici,delta,terapia intensiva,delta,dimessi,decessi,delta
Azienda Ospedale Università Padova,93,-2,17,-1,212,49,+1)
Ospedale Sant'Antonio,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",54,0,15,0,155,86,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",30,0,25,0,37,20,0
ULSS 1 - Ospedale Belluno,38,0,9,0,47,22,0
ULSS 1 - Ospedale Feltre,1,0,0,0,11,5,0
ULSS 2 - Ospedale Treviso,48,-18,14,-2,178,87,+5)
ULSS 2 - Ospedale Oderzo,7,0,7,0,16,12,0
ULSS 2 - Ospedale Conegliano,0,0,5,0,17,19,0
ULSS 2 - Ospedale Vittorio Veneto °,67,+1),4,0,117,21,0
ULSS 2 - Ospedale Castelfranco,7,-5,0,0,33,8,+1)
ULSS 2 - Ospedale Montebelluna,13,-4,7,0,39,11,0
Ospedale S. Camillo-Treviso °,47,+3),0,0,10,1,0
Ospedale civ. Motta di Livenza - Treviso,1,0,0,0,0,0,0
ULSS 3 - Ospedale Mestre,28,-2,11,-1,57,32,+1)
ULSS 3 - Ospedale Venezia,10,0,6,0,16,11,0
ULSS 3 - Ospedale Mirano,2,+1),6,0,8,6,0
ULSS 3 - Ospedale Dolo °,81,+2),7,-3,58,45,+2)
ULSS 3 - Ospedale Chioggia,1,0,0,0,0,3,0
Ospedale Villa Salus-Mestre °,41,+2),0,0,54,4,0
ULSS 4 - Ospedale San Donà di Piave,1,0,0,0,0,0,0
ULSS 4 - Ospedale Jesolo °,40,0,4,0,49,22,0
Casa di Cura Rizzola,10,0,0,0,7,1,0
ULSS 5 - Ospedale Rovigo,2,0,0,0,20,6,0
ULSS 5 - Ospedale Trecenta °,45,-2,9,0,4,13,+2)
ULSS 5 - Ospedale Adria,1,0,0,0,1,0,0
ULSS 6 - Ospedale Schiavonia °,120,+1),9,-3,164,66,+4)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,4,0,2,3,0
ULSS 6 - Ospedale Camposampiero,4,0,0,0,1,6,0
ULSS 7 - Ospedale Santorso °,142,+6),10,-1,74,32,+1)
ULSS 7 - Ospedale Bassano,0,-1,3,0,20,12,0
ULSS 7 - Ospedale Asiago,1,0,0,0,7,10,0
ULSS 8 - Ospedale Vicenza,57,0,19,0,75,53,0
ULSS 8 - Ospedale Noventa Vicentina,21,0,0,0,24,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,18,0,0,0,7,3,0
ULSS 9 - Ospedale Legnago,55,-2,6,0,30,37,0
ULSS 9 - Ospedale San Bonifacio,24,-2,3,0,19,13,0
ULSS 9 - Ospedale Villafranca °,105,+1),7,-3,83,43,0
ULSS 9 - Ospedale Marzana,66,-1,0,0,3,1,0
ULSS 9 - Ospedale Bussolengo,20,+1),0,0,5,1,0
Ospedale Sacro Cuore Don Calabria-Negrar,67,0,8,0,76,26,0
Ospedale P. Pederzoli-Peschiera,46,+8),3,-1,60,26,+1)
Ospedale di Comunità Belluno (BL),16,+2),,,10,5,0
Ospedale di Comunità  Agordo (BL),13,0,,,3,1,0
Ospedale di Comunità di Castelfranco  (TV),2,+1),,,0,0,0
Struttura COVID - Vedelago (TV),26,-5,,,10,3,+1)
Struttura COVID - Ormelle (TV),25,+2),,,2,4,0
Ospedale di Comunità Vittorio Veneto (TV),23,-4,,,16,2,0
Ospedale di Comunità SS. Giovanni e Paolo (VE),1,0,,,0,0,0
Ospedale di Comunità Casa di Cura Rizzola (VE),7,0,,,3,0,0
Ospedale di Comunità Villa Maria (PD),10,0,,,12,1,0
Ospedale di Comunità Camposampiero (PD),8,0,,,11,0,0
Ospedale di Comunità Marostica (VI),19,+1),,,2,2,0
