struttura,non critici,delta,terapia intensiva,delta,negativizzati ricoverati,dimessi,decessi,delta
Azienda Ospedale Università Padova,50,0,14,+1),39,285,60,0
Ospedale Sant'Antonio,0,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",24,-1,10,0,8,201,106,+1)
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",13,0,11,0,8,69,30,0
ULSS 1 - Ospedale Belluno,36,0,6,0,2,69,43,0
ULSS 1 - Ospedale Feltre,0,0,0,0,0,12,6,0
ULSS 2 - Ospedale Treviso,27,0,7,0,10,206,98,0
ULSS 2 - Ospedale Oderzo,7,-1,0,0,2,19,21,+1)
ULSS 2 - Ospedale Conegliano,1,-1,1,0,0,18,20,0
ULSS 2 - Ospedale Vittorio Veneto °,50,0,2,0,12,173,30,0
ULSS 2 - Ospedale Castelfranco,0,0,0,0,0,40,8,0
ULSS 2 - Ospedale Montebelluna,7,0,0,0,4,50,12,0
Ospedale S. Camillo-Treviso °,14,0,0,0,4,44,4,0
Ospedale Riabilitativo  Motta di Livenza - Treviso,8,0,0,0,8,0,0,0
ULSS 3 - Ospedale Mestre,13,0,3,0,10,76,38,0
ULSS 3 - Ospedale Venezia,4,0,0,0,4,27,14,0
ULSS 3 - Ospedale Mirano,1,0,0,0,1,9,9,0
ULSS 3 - Ospedale Dolo °,75,-3,9,0,23,90,74,+1)
ULSS 3 - Ospedale Chioggia,1,0,0,0,1,1,3,0
Ospedale Villa Salus (VE)°,36,+2),0,0,7,86,8,0
ULSS 4 - Ospedale Jesolo °,29,0,4,0,14,74,25,0
ULSS 4- Ospedale San Donà,0,0,0,0,1,0,0,0
Casa di Cura Rizzola,2,-2,0,0,1,14,1,0
ULSS 5 - Ospedale Rovigo,1,0,0,0,1,23,5,0
ULSS 5 - Ospedale Trecenta °,35,0,4,0,11,17,24,0
ULSS 5 - Ospedale Adria,2,0,0,0,2,1,0,0
ULSS 6 - Ospedale Schiavonia °,70,-1,5,0,9,236,98,+1)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,1,0,0,0,0,2,7,0
ULSS 6 - Ospedale Camposampiero,4,0,0,0,4,2,7,0
ULSS 6 - Ospedale Conselve,1,0,0,0,1,0,0,0
ULSS 7 - Ospedale Santorso °,114,0,6,0,45,138,59,0
ULSS 7 - Ospedale Bassano,1,0,0,0,0,20,13,0
ULSS 7 - Ospedale Asiago,2,0,0,0,0,8,10,0
ULSS 8 - Ospedale Vicenza,45,0,11,0,16,98,82,0
ULSS 8 - Ospedale Noventa Vicentina,18,0,0,0,6,37,2,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,7,0,0,0,3,21,5,0
ULSS 9 - Ospedale Legnago,31,-1,4,0,15,58,47,+1)
ULSS 9 - Ospedale San Bonifacio,4,+1),0,-1,1,21,25,0
ULSS 9 - Ospedale Villafranca °,77,-6,8,0,7,142,83,0
ULSS 9 - Ospedale Marzana,58,0,0,0,29,29,3,0
ULSS 9 - Ospedale Bussolengo,23,0,0,0,9,32,3,0
ULSS 9 - Ospedale San Biagio di Bovolone,3,0,0,0,3,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,39,0,4,0,15,113,33,0
Ospedale P. Pederzoli-Peschiera,43,0,1,0,15,77,38,0
Istituto Oncologico Veneto,0,0,0,0,0,2,1,0
Ospedale di Comunità Belluno (BL),19,0,,,2,21,10,0
Ospedale di Comunità  Agordo (BL),26,0,,,2,13,1,0
Ospedale di Comunità di Castelfranco  (TV),2,0,,,0,3,0,0
Struttura COVID - Vedelago (TV),16,0,,,7,29,3,0
Struttura COVID - Ormelle (TV),0,0,,,0,24,4,0
Ospedale di Comunità Vittorio Veneto (TV),14,0,,,9,28,2,0
Ospedale di Comunità Casa di Cura Rizzola (VE),2,0,,,2,7,1,0
Ospedale di Cinto Caomaggiore (VE),3,+1),,,2,0,0,0
Ospedale di Comunità Villa Maria (PD),9,0,,,5,27,1,0
Ospedale di Comunità Camposampiero (PD),12,-1,,,6,14,1,0
Ospedale di Comunità Marostica (VI),17,0,,,2,9,3,0
