struttura,non critici,delta,terapia intensiva,delta,dimessi,decessi,delta
Azienda Ospedale Università Padova,49,-2,22,0,38,6,0
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Roma",43,-2,14,+2),9,5,0
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Trento",0,0,12,0,,0,0
ULSS 1 - Ospedale Belluno,15,+1),4,0,3,2,0
ULSS 1 - Ospedale Feltre,8,-1,0,0,,2,+2)
ULSS 2 - Ospedale Treviso,77,+13),13,-2,48,29,0
ULSS 2 - Ospedale Oderzo,1,0,0,0,,1,+1)
ULSS 2 - Ospedale Conegliano,6,+1),11,0,,1,0
ULSS 2 - Ospedale Vittorio Veneto,2,0,0,0,,1,0
ULSS 2 - Ospedale Castelfranco,7,0,0,0,,1,0
ULSS 2 - Ospedale Montebelluna,0,0,2,+1),,2,0
ULSS 3 - Ospedale Mestre,42,+8),10,-2,3,7,0
ULSS 3 - Ospedale Venezia,12,+2),4,0,4,2,+1)
ULSS 3 - Ospedale Mirano,10,0,14,0,1,0,0
ULSS 3 - Ospedale Dolo,26,+5),2,+2),0,1,0
ULSS 3 - Ospedale Chioggia,1,0,0,0,0,1,0
ULSS 4 - Ospedale San Dona' di Piave,0,0,0,0,,,0
ULSS 4 - Ospedale Jesolo,15,+8),8,0,0,2,+2)
ULSS 5 - Ospedale Rovigo,10,+5),0,0,5,0,0
ULSS 5 - Ospedale Trecenta,0,0,2,0,,,0
ULSS 5 - Ospedale Adria,1,0,0,0,,,0
ULSS 6 - Ospedale Schiavonia,59,+11),9,0,2,3,0
ULSS 6 - Ospedale Piove di Sacco,15,-1,2,+1),0,1,0
ULSS 6 - Ospedale Cittadella,11,-2,0,0,,2,0
ULSS 7 - Ospedale Santorso,11,0,0,0,4,,0
ULSS 7 - Ospedale Bassano,14,+2),1,0,,2,+1)
ULSS 7 - Ospedale Asiago,15,+1),0,0,,1,0
ULSS 8 - Ospedale Vicenza,18,-1,19,+2),11,1,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,,,0
ULSS 8 - Ospedale Valdagno,1,0,0,0,,,0
ULSS 9 - Ospedale Legnago,9,-1,5,+1),,1,0
ULSS 9 - Ospedale San Bonifacio,3,+1),0,0,,,0
ULSS 9 - Ospedale Villafranca,5,0,0,0,,,0
Ospedale Sacro Cuore Don Calabria-Negrar,45,-4,9,+3),3,2,0
Ospedale P. Pederzoli-Peschiera,15,+4),0,-1,,,0
