struttura,non critici,delta,terapia intensiva,delta,dimessi,decessi,delta
Azienda Ospedale Università Padova,51,+10),22,0,38,6,0
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Roma",37,0,11,+1),8,5,0
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Trento",0,0,2,0,,,
ULSS 1 - Ospedale Belluno,17,0,2,+1),2,2,0
ULSS 1 - Ospedale Feltre,9,+3),0,0,,,
ULSS 2 - Ospedale Treviso,70,+14),13,-1,45,27,0
ULSS 2 - Ospedale Oderzo,1,+1),0,0,,,
ULSS 2 - Ospedale Conegliano,4,0,11,0,,1,0
ULSS 2 - Ospedale Vittorio Veneto,2,+1),0,0,,1,0
ULSS 2 - Ospedale Castelfranco,7,0,0,0,,1,0
ULSS 2 - Ospedale Montebelluna,0,0,0,0,,1,0
ULSS 3 - Ospedale Mestre,33,+1),13,+1),3,7,0
ULSS 3 - Ospedale Venezia,10,+1),4,0,4,1,0
ULSS 3 - Ospedale Mirano,12,+1),12,0,1,,
ULSS 3 - Ospedale Dolo,21,+4),0,0,,1,+1)
ULSS 3 - Ospedale Chioggia,1,0,0,0,,1,0
ULSS 4 - Ospedale San Dona' di Piave,0,0,0,0,,,
ULSS 4 - Ospedale Jesolo,7,-1,8,+1),,,
ULSS 5 - Ospedale Rovigo,5,+1),0,0,5,0,0
ULSS 5 - Ospedale Trecenta,0,0,2,0,,,
ULSS 5 - Ospedale Adria,1,0,0,0,,,
ULSS 6 - Ospedale Schiavonia,49,+1),8,+1),1,3,+1)
ULSS 6 - Ospedale Piove di Sacco,13,+5),1,0,,1,0
ULSS 6 - Ospedale Cittadella,13,+5),0,0,,2,0
ULSS 7 - Ospedale Santorso,11,0,0,0,4,,
ULSS 7 - Ospedale Bassano,12,+3),1,0,,1,0
ULSS 7 - Ospedale Asiago,14,-2,0,0,,1,+1)
ULSS 8 - Ospedale Vicenza,13,0,16,0,11,1,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,,,0
ULSS 8 - Ospedale Valdagno,1,0,0,0,,,0
ULSS 9 - Ospedale Legnago,8,0,4,0,,1,0
ULSS 9 - Ospedale San Bonifacio,2,0,0,0,,,
ULSS 9 - Ospedale Villafranca,5,0,0,0,,,
Ospedale Sacro Cuore Don Calabria-Negrar,49,+12),6,+3),1,2,0
Ospedale P. Pederzoli-Peschiera,9,+1),0,0,,,
