struttura,non critici,delta,terapia intensiva,delta,dimessi,decessi,delta
Azienda Ospedale Università Padova,116,-2,22,-1,169,37,+2)
Ospedale Sant'Antonio,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",69,0,22,0,129,73,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",38,+2),25,0,26,16,0
ULSS 1 - Ospedale Belluno,39,-1,9,0,36,19,+1)
ULSS 1 - Ospedale Feltre,7,-1,0,0,10,5,0
ULSS 2 - Ospedale Treviso,80,+2),19,-3,144,72,+3)
ULSS 2 - Ospedale Oderzo,11,0,6,0,11,9,0
ULSS 2 - Ospedale Conegliano,3,-2,7,+1),15,17,+1)
ULSS 2 - Ospedale Vittorio Veneto °,92,-20,6,0,85,15,+2)
ULSS 2 - Ospedale Castelfranco,24,+1),0,0,24,7,0
ULSS 2 - Ospedale Montebelluna,23,+5),6,-3,29,9,0
Ospedale S. Camillo-Treviso °,43,0,0,0,9,1,0
ULSS 3 - Ospedale Mestre,32,-1,15,+1),43,28,+1)
ULSS 3 - Ospedale Venezia,10,0,6,0,13,10,+1)
ULSS 3 - Ospedale Mirano,1,-1,8,0,7,6,0
ULSS 3 - Ospedale Dolo °,85,-5,11,0,40,31,+1)
ULSS 3 - Ospedale Chioggia,1,+1),0,0,0,3,0
Ospedale Villa Salus-Mestre °,49,+4),0,0,26,3,0
ULSS 4 - Ospedale Jesolo °,44,-1,12,+1),35,19,0
Casa di Cura Rizzola,10,0,0,0,4,1,0
ULSS 5 - Ospedale Rovigo,12,+4),0,0,16,4,+1)
ULSS 5 - Ospedale Trecenta °,30,+1),11,-1,1,4,+1)
ULSS 5 - Ospedale Adria,1,0,0,0,0,0,0
ULSS 6 - Ospedale Schiavonia °,113,-3,20,-1,132,51,+2)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,4,-1,2,3,+1)
ULSS 6 - Ospedale Camposampiero,8,+3),0,0,0,5,0
ULSS 7 - Ospedale Santorso °,117,+4),14,-1,43,22,+1)
ULSS 7 - Ospedale Bassano,7,-1,5,0,15,11,0
ULSS 7 - Ospedale Asiago,2,-2,0,0,7,10,0
ULSS 8 - Ospedale Vicenza,70,0,20,0,54,45,0
ULSS 8 - Ospedale Noventa Vicentina,21,0,0,0,15,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,17,-1,0,0,3,3,0
ULSS 9 - Ospedale Legnago,64,+1),7,0,14,33,0
ULSS 9 - Ospedale San Bonifacio,29,0,6,0,7,9,0
ULSS 9 - Ospedale Villafranca °,114,-2,12,-1,60,28,+2)
ULSS 9 - Ospedale Marzana,50,+4),0,0,1,1,0
ULSS 9 - Ospedale Bussolengo,6,+1),0,0,0,0,0
ULSS 9 - Ospedale Malcesine,1,0,0,0,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,82,-4,7,+1),48,23,0
Ospedale P. Pederzoli-Peschiera,37,-7,9,0,42,21,+2)
Ospedale di Comunità Belluno (BL),13,-1,,,5,3,0
Ospedale di Comunità  Agordo (BL),13,0,,,0,1,0
Centro Servizi Civitas Vitae - Vedelago (TV),31,-1,,,3,1,0
Centro Servizi Casa Luigi e Augusta - Ormelle (TV),23,0,,,0,1,0
Ospedale di Comunità Vittorio Veneto,31,+6),,,5,2,0
Ospedale di Comunità Casa di Cura Rizzola (VE),7,-1,,,3,0,0
Ospedale di Comunità Villa Maria (PD),13,-1,,,9,1,0
Ospedale di Comunità Camposampiero (PD),6,-1,,,9,0,0
Ospedale di Comunità Marostica (VI),11,+2),,,0,0,0
