struttura,non critici,delta,terapia intensiva,delta,dimessi,decessi,delta
Azienda Ospedale Università Padova,103,-1,29,-2,89,13,0
"Azienda Ospedale Università Padova-
Ospedale S. Antonio",0,0,0,0,0,0,0
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Roma",68,-6,23,0,70,38,+4)
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Trento",42,-2,35,0,9,8,0
ULSS 1 - Ospedale Belluno,45,-2,8,-1,9,5,+1)
ULSS 1 - Ospedale Feltre,10,+2),0,0,4,3,0
ULSS 1 - Ospedale Agordo,11,0,0,0,1,0,0
ULSS 2 - Ospedale Treviso,122,-12,22,+1),100,52,+3)
ULSS 2 - Ospedale Oderzo,18,-1,0,0,2,5,+2)
ULSS 2 - Ospedale Conegliano,27,-13,10,0,12,10,+1)
ULSS 2 - Ospedale Vittorio Veneto °,103,+12),5,+2),10,3,0
ULSS 2 - Ospedale Castelfranco,31,+2),0,0,3,6,0
ULSS 2 - Ospedale Montebelluna,34,+7),8,0,3,4,0
Ospedale S. Camillo-Treviso °,25,+19),0,0,0,0,0
ULSS 3 - Ospedale Mestre,51,-4,15,+1),16,16,+3)
ULSS 3 - Ospedale Venezia,15,0,7,0,8,5,0
ULSS 3 - Ospedale Mirano,0,0,14,0,8,3,0
ULSS 3 - Ospedale Dolo °,73,+1),14,+1),11,7,0
ULSS 3 - Ospedale Chioggia,1,+1),1,0,0,2,0
Ospedale Villa Salus-Mestre °,23,+1),0,0,1,0,0
ULSS 4 - Ospedale San Dona' di Piave,0,0,0,0,0,0,0
ULSS 4 - Ospedale Jesolo °,54,+9),12,0,4,9,0
ULSS 5 - Ospedale Rovigo,19,0,0,0,9,2,0
ULSS 5 - Ospedale Trecenta °,0,0,7,0,0,0,0
ULSS 5 - Ospedale Adria,0,0,0,0,0,0,0
ULSS 6 - Ospedale Schiavonia °,117,+9),22,-2,43,20,+1)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,0,0,0
ULSS 6 - Ospedale Cittadella,0,0,4,0,9,2,0
ULSS 6 - Ospedale Camposampiero,2,+1),0,0,0,1,0
ULSS 7 - Ospedale Santorso °,30,-6,12,+2),10,4,0
ULSS 7 - Ospedale Bassano,39,+1),6,0,0,7,0
ULSS 7 - Ospedale Asiago,20,0,0,0,0,8,0
ULSS 8 - Ospedale Vicenza,66,0,25,0,21,16,0
ULSS 8 - Ospedale Noventa Vicentina,19,0,0,0,2,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,0
ULSS 8 - Ospedale Valdagno,6,0,0,0,0,1,0
ULSS 8 - Ospedale Lonigo,0,0,0,0,0,0,0
ULSS 9 - Ospedale Legnago,50,+3),8,0,2,12,+1)
ULSS 9 - Ospedale San Bonifacio,9,+1),0,-1,1,0,0
ULSS 9 - Ospedale Villafranca °,120,+2),16,+1),3,1,0
IRCCS - IOV,0,-1,0,0,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,59,+4),6,0,21,9,0
Ospedale P. Pederzoli-Peschiera,24,+2),9,0,4,1,0
