struttura,non critici,delta,terapia intensiva,delta,negativizzati ricoverati,dimessi,decessi,delta
Azienda Ospedale Università Padova,64,-2,13,0,33,266,56,0
Ospedale Sant'Antonio,0,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",44,+4),10,-5,13,185,98,+1)
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",20,+10),11,-14,9,63,26,+1)
ULSS 1 - Ospedale Belluno,44,+1),7,0,0,63,31,+1)
ULSS 1 - Ospedale Feltre,0,0,0,0,0,12,6,0
ULSS 2 - Ospedale Treviso,36,0,9,0,10,196,95,+1)
ULSS 2 - Ospedale Oderzo,5,0,4,-2,2,17,18,+1)
ULSS 2 - Ospedale Conegliano,1,0,1,0,0,16,20,0
ULSS 2 - Ospedale Vittorio Veneto °,61,+7),5,+1),21,147,26,0
ULSS 2 - Ospedale Castelfranco,1,0,0,0,0,38,8,0
ULSS 2 - Ospedale Montebelluna,14,0,1,-1,7,44,12,0
Ospedale S. Camillo-Treviso °,26,-23,0,0,3,30,4,+3)
Ospedale Riabilitativo  Motta di Livenza - Treviso,5,+2),0,0,5,0,0,0
ULSS 3 - Ospedale Mestre,16,-4,5,0,16,69,37,+1)
ULSS 3 - Ospedale Venezia,9,-1,4,0,8,22,11,0
ULSS 3 - Ospedale Mirano,2,+1),0,0,1,9,8,0
ULSS 3 - Ospedale Dolo °,68,0,5,0,21,84,59,+2)
ULSS 3 - Ospedale Chioggia,0,0,0,0,0,1,3,0
Ospedale Villa Salus-Mestre °,45,-1,0,0,16,70,5,0
ULSS 4 - Ospedale San Donà di Piave,1,0,0,0,1,0,0,0
ULSS 4 - Ospedale Jesolo °,31,0,5,+1),11,66,23,0
Casa di Cura Rizzola,4,-1,0,0,2,13,1,0
ULSS 5 - Ospedale Rovigo,1,0,0,0,1,22,5,0
ULSS 5 - Ospedale Trecenta °,47,+1),7,0,14,4,19,0
ULSS 5 - Ospedale Adria,2,0,0,0,2,1,0,0
ULSS 6 - Ospedale Schiavonia °,103,-3,5,+1),5,205,84,+2)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,0,0,0,2,7,0
ULSS 6 - Ospedale Camposampiero,5,0,0,0,1,1,6,0
ULSS 6 - Ospedale Conselve,1,0,0,0,1,0,0,0
ULSS 7 - Ospedale Santorso °,117,-5,9,+1),40,113,50,+2)
ULSS 7 - Ospedale Bassano,0,0,1,0,0,20,12,0
ULSS 7 - Ospedale Asiago,2,0,0,0,1,7,10,0
ULSS 8 - Ospedale Vicenza,39,-1,16,0,10,92,64,0
ULSS 8 - Ospedale Noventa Vicentina,21,+1),0,0,2,32,1,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,13,-2,0,0,2,15,5,+1)
ULSS 9 - Ospedale Legnago,44,-3,7,+2),9,46,43,+1)
ULSS 9 - Ospedale San Bonifacio,7,+1),0,0,0,20,21,0
ULSS 9 - Ospedale Villafranca °,98,+7),9,-7,12,116,62,+1)
ULSS 9 - Ospedale Marzana,62,-1,0,0,23,14,3,0
ULSS 9 - Ospedale Bussolengo,24,-1,0,0,9,21,3,+1)
Ospedale Sacro Cuore Don Calabria-Negrar,55,-3,6,0,16,99,30,0
Ospedale P. Pederzoli-Peschiera,48,0,0,0,3,74,34,0
Istituto Oncologico Veneto,3,0,0,0,3,0,0,0
Ospedale di Comunità Belluno (BL),16,0,,,1,16,9,+1)
Ospedale di Comunità  Agordo (BL),19,0,,,2,7,1,0
Ospedale di Comunità di Castelfranco  (TV),2,0,,,1,2,0,0
Struttura COVID - Vedelago (TV),19,+1),,,1,21,3,0
Struttura COVID - Ormelle (TV),7,0,,,4,19,4,0
Ospedale di Comunità Vittorio Veneto (TV),6,-14,,,4,26,2,0
Ospedale di Comunità Casa di Cura Rizzola (VE),8,0,,,2,5,0,0
Ospedale di Cinto Caomaggiore (VE),2,0,,,2,0,0,0
Ospedale di Comunità Villa Maria (PD),11,+1),,,5,19,1,0
Ospedale di Comunità Camposampiero (PD),10,0,,,4,12,0,0
Ospedale di Comunità Marostica (VI),17,0,,,0,6,2,0
