struttura,non critici,delta,terapia intensiva,delta,dimessi,decessi,delta
Azienda Ospedale Università Padova,49,+6),16,0,23,3,0
"Azienda Ospedaliera Universitaria
Integrata di Verona - Borgo Roma",11,0,,0,,2,0
ULSS 1 - Ospedale Belluno,3,0,,0,,,0
ULSS 1 - Ospedale di Feltre,1,0,,0,,,
ULSS 2 - Ospedale Treviso,67,+9),5,0,,8,0
ULSS 2 - Ospedale Conegliano,4,+2),3,+1),,,0
ULSS 2 - Ospedale Vittorio Veneto,1,0,,0,,,0
ULSS 2 - Ospedale Castelfranco,2,+1),,0,,,0
ULSS 3 - Ospedale Mestre,29,+7),9,0,1,3,0
ULSS 3 - Ospedale Venezia,11,0,4,0,,1,0
ULSS 3 - Ospedale Mirano,6,+1),3,0,,,0
ULSS 3 - Ospedale Dolo,,,,0,,,0
ULSS 3 - Ospedale Chioggia,1,+1),,0,,1,+1)
ULSS 5 - Ospedale Rovigo,4,-1,1,+1),2,,0
ULSS 6 - Ospedale Schiavonia,,,,0,,1,0
ULSS 6 - Ospedale Piove di Sacco,5,+2),1,+1),,,0
ULSS 7 - Ospedale di Santorso,5,0,,0,,,0
ULSS 7 - Ospedale di Bassano,1,0,,0,,,0
ULSS 8 - Ospedale Vicenza,10,0,6,0,3,,0
ULSS 9 - Ospedale Legnago,3,0,2,0,,,0
ULSS 9 - Ospedale Villafranca,1,0,,0,,,0
Ospedale Sacro Cuore Don Calabria,7,0,,0,,,0
