struttura,non critici,delta,terapia intensiva,delta,negativizzati ricoverati,dimessi,decessi,delta
Azienda Ospedale Università Padova,60,+1),12,0,32,278,57,+1)
Ospedale Sant'Antonio,0,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",39,-1,10,0,12,191,103,+1)
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",15,-1,11,0,5,67,28,+1)
ULSS 1 - Ospedale Belluno,44,+2),6,-1,1,66,35,0
ULSS 1 - Ospedale Feltre,0,0,0,0,0,12,6,0
ULSS 2 - Ospedale Treviso,21,-2,8,0,5,203,98,+2)
ULSS 2 - Ospedale Oderzo,6,0,3,0,4,18,18,0
ULSS 2 - Ospedale Conegliano,4,0,0,0,0,16,20,0
ULSS 2 - Ospedale Vittorio Veneto °,56,-3,6,0,23,160,28,+1)
ULSS 2 - Ospedale Castelfranco,3,0,0,0,0,38,8,0
ULSS 2 - Ospedale Montebelluna,13,0,0,0,4,47,12,0
Ospedale S. Camillo-Treviso °,18,0,0,0,6,40,4,0
Ospedale Riabilitativo  Motta di Livenza - Treviso,8,0,0,0,8,0,0,0
ULSS 3 - Ospedale Mestre,18,-1,3,+1),14,72,37,0
ULSS 3 - Ospedale Venezia,6,0,0,0,6,25,14,0
ULSS 3 - Ospedale Mirano,1,0,0,0,1,9,9,0
ULSS 3 - Ospedale Dolo °,80,+3),6,0,25,86,65,0
ULSS 3 - Ospedale Chioggia,1,0,0,0,1,1,3,0
Ospedale Villa Salus-Mestre °,48,0,0,0,15,71,5,0
ULSS 4 - Ospedale Jesolo °,31,+2),4,0,15,70,24,0
Casa di Cura Rizzola,4,0,0,0,1,14,1,0
ULSS 5 - Ospedale Rovigo,1,0,0,0,1,22,5,0
ULSS 5 - Ospedale Trecenta °,39,0,4,0,12,12,22,0
ULSS 5 - Ospedale Adria,2,0,0,0,2,1,0,0
ULSS 6 - Ospedale Schiavonia °,95,0,5,0,8,215,91,+1)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,0,0,0,2,7,0
ULSS 6 - Ospedale Camposampiero,4,0,0,0,3,2,7,0
ULSS 6 - Ospedale Conselve,1,0,0,0,1,0,0,0
ULSS 7 - Ospedale Santorso °,105,-2,9,0,43,126,55,+1)
ULSS 7 - Ospedale Bassano,0,0,0,0,0,20,13,0
ULSS 7 - Ospedale Asiago,2,0,0,0,1,7,10,0
ULSS 8 - Ospedale Vicenza,47,+5),13,0,12,93,73,+1)
ULSS 8 - Ospedale Noventa Vicentina,17,-1,0,0,2,36,1,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,10,-1,0,0,3,19,5,0
ULSS 9 - Ospedale Legnago,32,+2),7,0,18,56,46,0
ULSS 9 - Ospedale San Bonifacio,3,0,0,0,0,21,23,0
ULSS 9 - Ospedale Villafranca °,92,0,9,0,18,120,76,+3)
ULSS 9 - Ospedale Marzana,60,-1,0,0,33,18,3,0
ULSS 9 - Ospedale Bussolengo,23,0,0,0,13,24,3,0
Ospedale Sacro Cuore Don Calabria-Negrar,40,+1),6,-1,14,113,31,0
Ospedale P. Pederzoli-Peschiera,47,-1,1,0,6,74,36,+1)
Istituto Oncologico Veneto,3,0,0,0,3,0,0,0
Ospedale di Comunità Belluno (BL),19,+3),,,0,18,10,+1)
Ospedale di Comunità  Agordo (BL),31,0,,,6,8,1,0
Ospedale di Comunità di Castelfranco  (TV),1,0,,,0,3,0,0
Struttura COVID - Vedelago (TV),18,0,,,11,23,3,0
Struttura COVID - Ormelle (TV),6,0,,,3,20,4,0
Ospedale di Comunità Vittorio Veneto (TV),4,0,,,2,28,2,0
Ospedale di Comunità Casa di Cura Rizzola (VE),6,0,,,2,4,1,0
Ospedale di Cinto Caomaggiore (VE),2,0,,,2,0,0,0
Ospedale di Comunità Villa Maria (PD),9,0,,,4,23,1,0
Ospedale di Comunità Camposampiero (PD),11,0,,,7,12,0,0
Ospedale di Comunità Marostica (VI),19,-1,,,1,7,2,0
