struttura,non critici,delta,terapia intensiva,delta,dimessi,decessi,delta
Azienda Ospedale Università Padova,97,-3,20,0,204,44,+1)
Ospedale Sant'Antonio,0,0,0,0,0,1,0
Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma,57,+1),15,0,148,80,0
Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento,26,-1,25,0,36,20,0
ULSS 1 - Ospedale Belluno,38,-6,9,+1),45,21,0
ULSS 1 - Ospedale Feltre,1,0,0,0,11,5,0
ULSS 2 - Ospedale Treviso,66,-2,17,-1,160,81,+3)
ULSS 2 - Ospedale Oderzo,10,0,6,0,14,9,0
ULSS 2 - Ospedale Conegliano,0,0,6,0,17,18,0
ULSS 2 - Ospedale Vittorio Veneto °,67,0,4,0,112,20,0
ULSS 2 - Ospedale Castelfranco,12,0,0,0,30,7,0
ULSS 2 - Ospedale Montebelluna,18,-1,7,+1),36,10,0
Ospedale S. Camillo-Treviso °,44,0,0,0,10,1,0
Ospedale civ. Motta di Livenza - Treviso,1,0,0,0,0,0,0
ULSS 3 - Ospedale Mestre,30,+5),13,0,52,31,+1)
ULSS 3 - Ospedale Venezia,12,0,6,0,16,10,0
ULSS 3 - Ospedale Mirano,2,0,6,0,7,6,0
ULSS 3 - Ospedale Dolo °,83,-2,10,0,54,38,+4)
ULSS 3 - Ospedale Chioggia,1,0,0,0,0,3,0
Ospedale Villa Salus-Mestre °,47,+1),0,0,44,4,0
ULSS 4 - Ospedale San Donà di Piave,1,0,0,0,0,0,0
ULSS 4 - Ospedale Jesolo °,39,-3,6,0,48,21,0
Casa di Cura Rizzola,9,-1,0,0,7,1,0
ULSS 5 - Ospedale Rovigo,14,+2),0,0,18,5,0
ULSS 5 - Ospedale Trecenta °,38,-3,10,0,3,11,+3)
ULSS 5 - Ospedale Adria,1,0,0,0,0,0,0
ULSS 6 - Ospedale Schiavonia °,110,+3),14,-1,157,60,0
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,4,0,2,3,0
ULSS 6 - Ospedale Camposampiero,4,-1,0,0,1,6,+1)
ULSS 7 - Ospedale Santorso °,130,-2,13,0,61,28,0
ULSS 7 - Ospedale Bassano,7,+2),3,0,19,12,0
ULSS 7 - Ospedale Asiago,2,0,0,0,7,10,0
ULSS 8 - Ospedale Vicenza,56,0,22,0,69,49,0
ULSS 8 - Ospedale Noventa Vicentina,21,0,0,0,23,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,19,0,0,0,5,3,0
ULSS 9 - Ospedale Legnago,59,+2),7,0,25,35,0
ULSS 9 - Ospedale San Bonifacio,20,-5,3,0,17,13,+1)
ULSS 9 - Ospedale Villafranca °,104,-7,12,0,79,38,+2)
ULSS 9 - Ospedale Marzana,66,+4),0,0,2,1,0
ULSS 9 - Ospedale Bussolengo,24,+3),0,0,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,69,-6,8,0,67,25,0
Ospedale P. Pederzoli-Peschiera,40,0,5,0,52,24,0
Ospedale di Comunità Belluno (BL),16,+1),,,9,4,0
Ospedale di Comunità  Agordo (BL),15,0,,,1,1,0
Ospedale di Comunità di Castelfranco,1,0,,,0,0,0
Struttura COVID - Vedelago (TV),31,0,,,3,2,0
Struttura COVID - Ormelle (TV),24,0,,,2,4,0
Ospedale di Comunità Vittorio Veneto,27,0,,,11,2,0
Ospedale di Comunità Casa di Cura Rizzola (VE),7,0,,,3,0,0
Ospedale di Comunità Villa Maria (PD),11,0,,,12,1,0
Ospedale di Comunità Camposampiero (PD),8,0,,,11,0,0
Ospedale di Comunità Marostica (VI),18,0,,,2,2,0
