struttura,non critici,terapia intensiva,dimessi,decessi,delta,delta,delta
Azienda Ospedale Università Padova,9,1,313,66,+1),0,0
Ospedale Sant'Antonio,0,0,0,1,0,0,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",4,0,214,113,0,0,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",2,0,82,34,0,-1,0
ULSS 1 - Ospedale Belluno,10,0,97,53,+3),0,+1)
ULSS 1 - Ospedale Feltre,0,0,12,6,0,0,0
ULSS 2 - Ospedale Treviso,3,0,220,109,0,0,0
ULSS 2 - Ospedale Oderzo,0,0,20,21,0,0,0
ULSS 2 - Ospedale Conegliano,0,0,18,21,0,0,0
ULSS 2 - Ospedale Vittorio Veneto °,5,0,205,36,0,0,0
ULSS 2 - Ospedale Castelfranco,0,0,40,8,0,0,0
ULSS 2 - Ospedale Montebelluna,0,0,53,12,0,0,0
Ospedale S. Camillo-Treviso °,0,0,52,4,0,0,0
Ospedale Riabilitativo  Motta di Livenza - Treviso,0,0,2,0,0,0,0
Casa di Cura Giovanni XXIII Monastier -TV,0,0,1,0,0,0,0
ULSS 3 - Ospedale Mestre,0,0,75,41,0,0,0
ULSS 3 - Ospedale Venezia,0,0,28,15,0,0,0
ULSS 3 - Ospedale Mirano,0,0,8,10,0,0,0
ULSS 3 - Ospedale Dolo °,16,4,137,110,-1,+1),0
ULSS 3 - Ospedale Chioggia,0,0,3,3,0,0,0
ULSS 3 - Ospedale di Noale,0,0,0,4,0,0,0
Ospedale Villa Salus (VE)°,24,0,108,14,0,0,0
Casa di cura San Marco - Mestre (VE),0,0,0,0,0,0,0
ULSS 4 - Ospedale Jesolo °,4,0,99,30,-1,0,0
ULSS 4 - Ospedale Portogruaro,0,0,0,1,0,0,0
Casa di Cura Rizzola,0,0,15,1,0,0,0
ULSS 5 - Ospedale Rovigo,0,0,28,5,0,0,0
ULSS 5 - Ospedale Trecenta °,3,0,39,26,0,0,0
ULSS 5 - Ospedale Adria,0,0,5,0,0,0,0
ULSS 6 - Ospedale Schiavonia °,14,1,270,104,+1),0,0
ULSS 6 - Ospedale Piove di Sacco,0,0,2,0,0,0,0
ULSS 6 - Ospedale Cittadella,0,0,2,7,0,0,0
ULSS 6 - Ospedale Camposampiero,1,0,3,7,0,0,0
ULSS 6 - Ospedale Conselve,0,0,0,0,0,0,0
Casa di cura Villa Maria (PD),0,0,1,0,0,0,0
ULSS 7 - Ospedale Santorso °,12,0,249,88,+1),0,0
ULSS 7 - Ospedale Bassano,0,0,21,13,0,0,0
ULSS 7 - Ospedale Asiago,0,0,8,11,0,0,0
ULSS 8 - Ospedale Vicenza,22,1,140,101,+1),0,0
ULSS 8 - Ospedale Noventa Vicentina,0,0,58,2,0,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,1,0,0,0
ULSS 8 - Ospedale Valdagno,0,0,23,5,0,0,0
ULSS 9 - Ospedale Legnago,0,1,73,50,0,0,+1)
ULSS 9 - Ospedale San Bonifacio,2,0,32,26,0,0,0
ULSS 9 - Ospedale Villafranca °,22,2,188,112,-1,0,0
ULSS 9 - Ospedale Marzana,3,0,50,8,0,0,0
ULSS 9 - Ospedale Bussolengo,14,0,57,4,-2,0,+1)
ULSS 9 - Ospedale San Biagio di Bovolone,0,0,2,0,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,6,0,141,36,0,0,0
Ospedale P. Pederzoli-Peschiera,5,0,99,38,0,0,0
Istituto Oncologico Veneto,0,0,2,1,0,0,0

Ospedale di Comunità Belluno (BL),0,,35,17,,-8,0
Ospedale di Comunità  Agordo (BL),3,,29,1,-4,0,
Ospedale di Comunità- Auronzo (BL),0,,0,0,0,0,
Ospedale di Comunità Alano di Piave (BL),0,,0,0,0,0,
Ospedale di Comunità di Castelfranco  (TV),0,,5,0,0,0,
Struttura COVID - Vedelago (TV),1,,47,4,0,0,
Struttura COVID - Ormelle (TV),0,,24,4,0,0,
Ospedale di Comunità Vittorio Veneto (TV),10,,40,2,-3,0,
Ospedale di Comunità SS. Giovanni e Paolo (VE),0,,0,0,0,0,
Ospedale di Comunità Casa di Cura Rizzola (VE),0,,11,1,0,0,
Ospedale di Cinto Caomaggiore (VE),1,,0,0,0,0,
Ospedale di Comunità Villa Maria (PD),0,,40,1,-1,0,
Ospedale di Comunità Conselve (PD),0,,0,0,0,0,
Ospedale di Comunità Camposampiero (PD),3,,22,1,0,0,
Ospedale di Comunità Montagnana (PD),0,,0,0,0,0,
Ospedale di Comunità Marostica (VI),7,,19,6,0,0,
Ospedale di Comunità Valeggio sul Mincio,0,,0,0,0,0,
