struttura,non critici,delta,terapia intensiva,delta,dimessi,decessi,delta
Azienda Ospedale Università Padova,42,+3),16,,22,2,
"Azienda Ospedaliera Universitaria
Integrata di Verona - Borgo Roma",12,,,,,,
ULSS 1 - Ospedale Belluno,3,+1),,,,,
ULSS 2 - Ospedale Treviso,57,+8),4,+1),,8,
ULSS 2 - Ospedale Conegliano,2,+2),2,+2),,,
ULSS 2 - Ospedale Vittorio Veneto,1,+1),,,,,
ULSS 2 - Ospedale Castelfranco,1,+1),,,,,
ULSS 3 - Ospedale Mestre,23,,9,-1,1,3,+2)
ULSS 3 - Ospedale Venezia,11,,4,,2,1,
ULSS 3 - Ospedale Mirano,5,+2),3,+2),,,
ULSS 3 - Ospedale Dolo,,,,,,,
ULSS 5 - Ospedale Rovigo,5,+1),,,1,,
ULSS 6 - Ospedale Schiavonia,0,,,,,1,
ULSS 6 - Ospedale Piove di Sacco,3,+3),,,,,
ULSS 7 - Ospedale di Santorso,6,,,,,,
ULSS 8 - Ospedale Vicenza,10,+2),6,+1),3,,
ULSS 9 - Ospedale Legnago,3,,2,,,,
Ospedale Sacro Cuore Don Calabria,4,,,,,,
