struttura,non critici,terapia intensiva,dimessi,decessi,delta,delta,delta
Azienda Ospedale Università Padova,3,0,318,70,0,0,0
Ospedale Sant'Antonio,0,0,0,1,0,0,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",2,0,220,114,0,0,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",1,0,90,34,0,0,0
ULSS 1 - Ospedale Belluno,0,0,106,53,0,0,0
ULSS 1 - Ospedale Feltre,0,0,12,6,0,0,0
ULSS 1 - Ospedale Agordo,0,0,1,0,0,0,0
ULSS 2 - Ospedale Treviso,1,0,226,112,0,0,0
ULSS 2 - Ospedale Oderzo,0,0,20,22,0,0,0
ULSS 2 - Ospedale Conegliano,0,0,18,21,0,0,0
ULSS 2 - Ospedale Vittorio Veneto °,2,0,217,40,0,0,0
ULSS 2 - Ospedale Castelfranco,0,0,40,8,0,0,0
ULSS 2 - Ospedale Montebelluna,0,0,53,12,0,0,0
Ospedale S. Camillo-Treviso °,0,0,54,4,0,0,0
Ospedale Riabilitativo  Motta di Livenza - Treviso,0,0,5,0,0,0,0
Casa di Cura Giovanni XXIII Monastier -TV,0,0,1,0,0,0,0
ULSS 3 - Ospedale Mestre,0,0,77,42,0,0,0
ULSS 3 - Ospedale Venezia,0,0,29,15,0,0,0
ULSS 3 - Ospedale Mirano,0,0,8,10,0,0,0
ULSS 3 - Ospedale Dolo °,3,0,146,115,0,0,0
ULSS 3 - Ospedale Chioggia,0,0,4,3,0,0,0
ULSS 3 - Ospedale di Noale,0,0,0,4,0,0,0
Ospedale Villa Salus (VE)°,4,0,135,15,0,0,0
Casa di cura San Marco - Mestre (VE),0,0,0,0,0,0,0
ULSS 4 - Ospedale Jesolo °,0,0,108,30,0,0,0
ULSS 4 - Ospedale San Donà di Piave,0,0,0,0,0,0,0
ULSS 4 - Ospedale Portogruaro,0,0,0,1,0,0,0
Casa di Cura Rizzola,0,0,15,1,0,0,0
ULSS 5 - Ospedale Rovigo,0,0,29,5,0,0,0
ULSS 5 - Ospedale Trecenta °,0,0,49,26,0,0,0
ULSS 5 - Ospedale Adria,0,0,5,0,0,0,0
ULSS 6 - Ospedale Schiavonia °,0,1,280,111,-1,0,0
ULSS 6 - Ospedale Piove di Sacco,0,0,2,0,0,0,0
ULSS 6 - Ospedale Cittadella,2,0,2,7,0,0,0
ULSS 6 - Ospedale Camposampiero,1,0,4,9,0,0,0
ULSS 6 - Ospedale Conselve,0,0,0,0,0,0,0
Casa di cura Villa Maria (PD),0,0,1,0,0,0,0
ULSS 7 - Ospedale Santorso °,0,0,262,92,0,0,0
ULSS 7 - Ospedale Bassano,0,0,21,13,0,0,0
ULSS 7 - Ospedale Asiago,0,0,10,12,0,0,0
ULSS 8 - Ospedale Vicenza,5,0,163,104,-2,0,0
ULSS 8 - Ospedale Noventa Vicentina,0,0,58,2,0,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,1,0,0,0
ULSS 8 - Ospedale Valdagno,0,0,23,5,0,0,0
ULSS 9 - Ospedale Legnago,0,0,78,51,0,0,0
ULSS 9 - Ospedale San Bonifacio,0,0,34,26,0,0,0
ULSS 9 - Ospedale Villafranca °,6,0,193,118,0,0,0
ULSS 9 - Ospedale Marzana,2,0,54,8,0,0,0
ULSS 9 - Ospedale Bussolengo,3,0,68,8,0,0,0
ULSS 9 - Ospedale San Biagio di Bovolone,0,0,9,0,0,0,0
ULSS 9 - Ospedale Malcesine,0,0,0,0,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,0,0,145,39,0,0,0
Ospedale P. Pederzoli-Peschiera,2,0,103,40,0,0,0
Casa di cura Villa Garda (VR),0,0,0,0,0,0,0
Istituto Oncologico Veneto,0,0,2,1,0,0,0
Ospedale di Comunità Belluno (BL),0,,35,17,,0,0
Ospedale di Comunità  Agordo (BL),0,,32,1,0,0
Ospedale di Comunità- Auronzo (BL),0,,0,0,0,0
Ospedale di Comunità Alano di Piave (BL),0,,0,0,0,0
Ospedale di Comunità di Castelfranco  (TV),0,,5,0,0,0
Struttura COVID - Vedelago (TV),0,,54,4,0,0
Struttura COVID - Ormelle (TV),0,,24,4,0,0
Ospedale di Comunità Vittorio Veneto (TV),0,,52,2,0,0
Ospedale di Comunità SS. Giovanni e Paolo (VE),0,,0,0,0,0
Ospedale di Comunità Casa di Cura Rizzola (VE),0,,11,1,0,0
Ospedale di Cinto Caomaggiore (VE),0,,0,0,0,0
Ospedale di Comunità Civitas vitae (PD),0,,0,1,0,0
Ospedale di Comunità Villa Maria (PD),0,,40,1,0,0
Ospedale di Comunità Conselve (PD),0,,0,0,0,0
Ospedale di Comunità Camposampiero (PD),0,,26,2,0,0
Ospedale di Comunità Montagnana (PD),1,,0,0,0,0
Ospedale di Comunità Marostica (VI),5,,21,8,0,0
Ospedale di Comunità Valeggio sul Mincio (VR),0,,0,0,0,0
Ospedale di comunità Tregnago (VR),0,,0,0,0,0
