struttura,non critici,delta,terapia intensiva,delta,dimessi,decessi,delta
Azienda Ospedale Università Padova,117,+1),30,0,112,18,+2)
"Azienda Ospedale Università Padova-
Ospedale S. Antonio",0,0,0,0,0,0,0
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Roma",77,-8,24,+1),87,44,0
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Trento",36,0,34,-1,11,14,0
ULSS 1 - Ospedale Belluno,51,-2,10,+2),11,8,0
ULSS 1 - Ospedale di Comunità Belluno,4,+4),0,0,0,1,+1)
ULSS 1 - Ospedale Feltre,11,-1,0,0,5,4,0
ULSS 1 - Ospedale Agordo,12,0,0,0,1,0,0
ULSS 2 - Ospedale Treviso,113,-3,25,+2),129,57,+1)
ULSS 2 - Ospedale Oderzo,20,+3),3,+1),5,5,0
ULSS 2 - Ospedale Conegliano,19,-1,9,0,13,10,0
ULSS 2 - Ospedale Vittorio Veneto °,103,-1,6,0,28,7,0
ULSS 2 - Ospedale Castelfranco,23,-1,0,0,9,6,0
ULSS 2 - Ospedale Montebelluna,29,-2,7,0,12,6,0
Ospedale S. Camillo-Treviso °,40,+2),0,0,0,0,0
ULSS 3 - Ospedale Mestre,53,+8),17,0,21,18,0
ULSS 3 - Ospedale Venezia,13,0,6,0,11,5,0
ULSS 3 - Ospedale Mirano,0,0,11,-1,8,5,+1)
ULSS 3 - Ospedale Dolo °,84,+2),15,0,16,13,+1)
ULSS 3 - Ospedale Chioggia,0,-1,0,0,0,2,0
Ospedale Villa Salus-Mestre °,20,+3),0,0,9,2,0
ULSS 4 - Ospedale San Dona' di Piave,0,0,0,0,0,0,0
ULSS 4 - Ospedale Jesolo °,56,+1),13,-1,14,11,0
ULSS 5 - Ospedale Rovigo,24,0,0,0,11,2,0
ULSS 5 - Ospedale Trecenta °,5,0,9,0,0,0,0
ULSS 5 - Ospedale Adria,0,0,0,0,0,0,0
ULSS 6 - Ospedale Schiavonia °,117,+4),24,+1),65,29,+2)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,6,-4,9,2,0
ULSS 6 - Ospedale Camposampiero,8,0,0,0,0,1,0
Casa di Cura Villa Maria - Padova,3,0,0,0,0,0,0
Casa di Cura Villa Maria ODC - Padova,1,+1),0,0,0,0,0
ULSS 7 - Ospedale Santorso °,57,+2),13,0,19,11,+3)
ULSS 7 - Ospedale Bassano,32,+1),7,0,7,8,0
ULSS 7 - Ospedale Asiago,21,0,0,0,0,9,+1)
ULSS 8 - Ospedale Vicenza,65,-6,27,0,35,27,+1)
ULSS 8 - Ospedale Noventa Vicentina,21,-1,0,0,5,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,0
ULSS 8 - Ospedale Valdagno,11,0,0,0,0,1,0
ULSS 8 - Ospedale Lonigo,0,0,0,0,0,0,0
ULSS 9 - Ospedale Legnago,60,+1),8,0,2,18,+1)
ULSS 9 - Ospedale San Bonifacio,19,+1),4,+3),2,3,+1)
ULSS 9 - Ospedale Villafranca °,118,-5,20,0,13,9,+1)
ULSS 9 - Ospedale Marzana,19,+16),0,0,1,0,0
IRCCS - IOV,0,0,0,0,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,69,-1,10,0,23,15,0
Ospedale P. Pederzoli-Peschiera,43,-2,11,+2),9,7,0
