struttura,non critici,delta,terapia intensiva,delta,negativizzati ricoverati,dimessi,decessi,delta
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",40,-2,15,0,12,184,97,+1)
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",10,-3,25,0,11,58,25,0
ULSS 1 - Ospedale Belluno,43,0,7,0,0,63,30,0
ULSS 1 - Ospedale Feltre,0,0,0,0,0,12,6,0
ULSS 2 - Ospedale Treviso,36,-1,9,-1,11,193,94,0
ULSS 2 - Ospedale Oderzo,5,0,6,-1,3,16,17,+1)
ULSS 2 - Ospedale Conegliano,1,-1,1,0,0,16,20,0
ULSS 2 - Ospedale Vittorio Veneto °,54,+9),4,0,18,142,26,0
ULSS 2 - Ospedale Castelfranco,1,0,0,0,0,38,8,0
ULSS 2 - Ospedale Montebelluna,14,0,2,0,7,43,12,0
Ospedale S. Camillo-Treviso °,49,0,0,0,7,10,1,0
Ospedale Riabilitativo  Motta di Livenza - Treviso,3,0,0,0,3,0,0,0
ULSS 3 - Ospedale Mestre,20,-3,5,-3,21,66,36,+3)
ULSS 3 - Ospedale Venezia,10,0,4,0,9,21,11,0
ULSS 3 - Ospedale Mirano,1,0,0,0,1,9,8,0
ULSS 3 - Ospedale Dolo °,68,-3,5,-1,23,80,57,+2)
ULSS 3 - Ospedale Chioggia,0,-1,0,0,0,1,3,0
Ospedale Villa Salus-Mestre °,46,0,0,0,13,66,5,0
Casa di cura Policlinico San Marco Mestre,0,-1,0,0,0,0,0,0
ULSS 4 - Ospedale San Donà di Piave,1,0,0,0,1,0,0,0
ULSS 4 - Ospedale Jesolo °,31,+2),4,-1,12,64,23,0
Casa di Cura Rizzola,5,0,0,0,3,12,1,0
ULSS 5 - Ospedale Rovigo,1,0,0,0,1,22,5,0
ULSS 5 - Ospedale Trecenta °,46,0,7,0,14,4,19,0
ULSS 5 - Ospedale Adria,2,0,0,0,2,1,0,0
ULSS 6 - Ospedale Schiavonia °,106,-3,4,-1,5,198,82,+3)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,0,-2,0,2,7,0
ULSS 6 - Ospedale Camposampiero,5,0,0,0,1,1,6,0
ULSS 6 - Ospedale Conselve,1,0,0,0,1,0,0,0
ULSS 7 - Ospedale Santorso °,122,-7,8,0,39,108,48,+2)
ULSS 7 - Ospedale Bassano,0,0,1,-1,0,20,12,0
ULSS 7 - Ospedale Asiago,2,+1),0,0,1,7,10,0
ULSS 8 - Ospedale Vicenza,40,0,16,0,8,92,64,0
ULSS 8 - Ospedale Noventa Vicentina,20,-2,0,0,1,31,1,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,15,0,0,0,2,13,4,0
ULSS 9 - Ospedale Legnago,47,-1,5,0,8,46,42,0
ULSS 9 - Ospedale San Bonifacio,6,0,0,0,0,20,21,0
ULSS 9 - Ospedale Villafranca °,91,-5,16,0,12,114,61,+2)
ULSS 9 - Ospedale Marzana,63,+1),0,0,26,11,3,0
ULSS 9 - Ospedale Bussolengo,25,-1,0,0,9,19,2,+1)
ULSS 9 - Ospedale Bovolone,0,-1,0,0,0,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,58,-3,6,-2,14,96,30,+1)
Ospedale P. Pederzoli-Peschiera,48,0,0,-2,3,72,34,+1)
Istituto Oncologico Veneto,3,+1),0,0,3,0,0,0
Ospedale di Comunità Belluno (BL),16,+1),,,0,16,8,+1)
Ospedale di Comunità  Agordo (BL),19,+1),,,2,7,1,0
Ospedale di Comunità di Castelfranco  (TV),2,-1,,,0,2,0,0
Struttura COVID - Vedelago (TV),18,-2,,,1,21,3,0
Struttura COVID - Ormelle (TV),7,0,,,4,20,4,0
Ospedale di Comunità Vittorio Veneto (TV),20,-7,,,12,22,2,0
Ospedale di Comunità SS. Giovanni e Paolo (VE),0,-1,,,0,0,0,0
Ospedale di Comunità Casa di Cura Rizzola (VE),8,-1,,,2,5,0,0
Ospedale di Cinto Caomaggiore (VE),2,0,,,2,0,0,0
Ospedale di Comunità Villa Maria (PD),10,-1,,,5,19,1,0
Ospedale di Comunità Camposampiero (PD),10,+1),,,4,12,0,0
Ospedale di Comunità Marostica (VI),17,0,,,1,6,2,0
