struttura,non critici,delta,terapia intensiva,delta,dimessi,decessi,delta
Azienda Ospedale Università Padova,114,0,32,0,133,22,+1)
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Roma",84,+3),24,0,97,59,+1)
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Trento",39,-1,32,0,17,15,0
ULSS 1 - Ospedale Belluno,44,+2),10,0,29,11,+1)
ULSS 1 - Ospedale di Comunità Belluno,9,+3),0,0,0,1,0
ULSS 1 - Ospedale Feltre,8,-2,0,0,7,4,0
ULSS 1 - Ospedale di Comunità Agordo,12,0,0,0,1,0,0
ULSS 2 - Ospedale Treviso,119,+5),23,-3,137,61,+1)
ULSS 2 - Ospedale Oderzo,18,-3,6,0,8,5,0
ULSS 2 - Ospedale Conegliano,10,-4,8,0,14,13,0
ULSS 2 - Ospedale Vittorio Veneto °,139,+16),7,+1),41,11,+1)
ULSS 2 - Ospedale Castelfranco,29,+8),0,0,14,6,0
ULSS 2 - Ospedale Montebelluna,37,+12),8,0,18,6,0
Ospedale S. Camillo-Treviso °,46,+4),0,0,0,0,0
ULSS 3 - Ospedale Mestre,49,+1),15,0,25,20,+1)
ULSS 3 - Ospedale Venezia,12,+1),6,0,12,6,0
ULSS 3 - Ospedale Mirano,1,0,10,0,7,6,0
ULSS 3 - Ospedale Dolo °,92,+6),16,0,19,17,0
ULSS 3 - Ospedale Chioggia,0,0,0,0,0,3,0
Ospedale Villa Salus-Mestre °,27,+2),0,0,15,2,0
ULSS 4 - Ospedale Jesolo °,54,-5,12,-1,22,13,+1)
Casa di Cura Rizzola,14,0,0,0,0,0,0
ULSS 5 - Ospedale Rovigo,26,+1),0,0,11,2,0
ULSS 5 - Ospedale Trecenta °,5,0,9,0,0,0,0
ULSS 5 - Ospedale Adria,0,0,0,0,0,0,0
ULSS 6 - Ospedale Schiavonia °,126,+5),25,0,80,36,0
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,6,0,5,2,0
ULSS 6 - Ospedale Camposampiero,10,0,0,0,5,3,0
Casa di Cura Villa Maria OdC - Padova,7,-1,0,0,5,1,0
ULSS 7 - Ospedale Santorso °,83,+4),17,+2),22,15,0
ULSS 7 - Ospedale Bassano,27,0,6,0,7,9,0
ULSS 7 - Ospedale Asiago,23,0,0,0,0,9,0
ULSS 8 - Ospedale Vicenza,76,0,26,0,38,37,0
ULSS 8 - Ospedale Noventa Vicentina,19,0,0,0,7,0,0
ULSS 8 - Ospedale Valdagno,13,0,0,0,0,1,0
ULSS 9 - Ospedale Legnago,68,+1),8,0,2,21,0
ULSS 9 - Ospedale San Bonifacio,16,0,7,0,1,4,+1)
ULSS 9 - Ospedale Villafranca °,118,-5,19,-1,29,15,+3)
ULSS 9 - Ospedale Marzana,27,0,0,0,1,0,0
IRCCS - IOV,0,0,0,0,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,83,0,10,0,26,17,+2)
Ospedale P. Pederzoli-Peschiera,48,-1,10,-2,17,12,+4)
