struttura,non critici,delta,terapia intensiva,delta,dimessi,decessi,delta
Azienda Ospedale Università Padova,43,-5,22,0,36,5,0
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Roma",33,-1,10,+1),4,2,0
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Trento",0,0,2,-2,,,0
ULSS 1 - Ospedale Belluno,11,-2,0,0,2,,0
ULSS 1 - Ospedale Feltre,5,0,0,0,,,0
ULSS 2 - Ospedale Treviso,78,+16),9,0,41,25,+2)
ULSS 2 - Ospedale Conegliano,5,-10,10,+2),,1,+1)
ULSS 2 - Ospedale Vittorio Veneto,3,-3,0,0,,1,0
ULSS 2 - Ospedale Castelfranco,5,0,0,0,,1,0
ULSS 2 - Ospedale Montebelluna,0,-2,0,0,,,0
ULSS 3 - Ospedale Mestre,20,-6,12,-1,3,7,+3)
ULSS 3 - Ospedale Venezia,9,0,4,-1,0,1,0
ULSS 3 - Ospedale Mirano,11,+4),9,0,,,0
ULSS 3 - Ospedale Dolo,13,+7),0,0,,,0
ULSS 3 - Ospedale Chioggia,2,+1),0,-1,,1,0
ULSS 4 - Ospedale San Dona' di Piave,0,0,1,+1),,,
ULSS 4 - Ospedale Jesolo,6,-2,5,+2),,,0
ULSS 5 - Ospedale Rovigo,5,-1,0,-1,4,0,0
ULSS 5 - Ospedale Trecenta,0,,1,+1),,,
ULSS 6 - Ospedale Schiavonia,32,-8,6,+1),,1,0
ULSS 6 - Ospedale Piove di Sacco,2,-3,1,0,,1,+1)
ULSS 6 - Ospedale Cittadella,6,-6,0,0,,1,0
ULSS 7 - Ospedale Santorso,10,-1,0,0,4,,0
ULSS 7 - Ospedale Bassano,4,+1),0,0,,1,+1)
ULSS 8 - Ospedale Vicenza,11,-2,12,+1),9,1,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,,,0
ULSS 9 - Ospedale Legnago,9,+2),3,0,,1,0
ULSS 9 - Ospedale Villafranca,5,+2),0,0,,,0
Ospedale Sacro Cuore Don Calabria-Negrar,20,+3),1,-2,,,0
Ospedale P. Pederzoli-Peschiera,2,0,0,0,,,0
