struttura,non critici,delta,terapia intensiva,delta,dimessi,decessi,delta
Azienda Ospedale Università Padova,38,-1,16,+2),20,1,
"Azienda Ospedaliera Universitaria
Integrata di Verona - Borgo Roma",10,,,,,,
ULSS 2 - Ospedale Treviso,49,+7),3,+1),,8,
ULSS 3 - Ospedale Mestre,22,+4),9,+5),1,1,
ULSS 3 - Ospedale Venezia,11,-2,4,+1),2,1,
ULSS 3 - Ospedale Mirano,3,+2),1,+1),,,
ULSS 3 - Ospedale Dolo,,,,,,,
ULSS 5 - Ospedale Rovigo,4,,,,1,,
ULSS 6 - Ospedale Schiavonia,0,,,,,1,
ULSS 7 - Ospedale di Santorso,3,,,,,,
ULSS 8 - Ospedale Vicenza,8,,4,,,,
ULSS 9 - Ospedale Legnago,3,,2,+2),,,
Ospedale Sacro Cuore Don Calabria,4,+1),,,,,
