struttura,non critici,terapia intensiva,dimessi,decessi,delta,delta,delta
Azienda Ospedale Università Padova,2,0,322,70,+1),0,0
Ospedale Sant'Antonio,0,0,0,1,0,0,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",0,0,222,114,0,0,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",0,1,93,35,0,0,0
ULSS 1 - Ospedale Belluno,2,0,111,53,0,0,0
ULSS 1 - Ospedale Feltre,0,0,12,6,0,0,0
ULSS 1 - Ospedale Agordo,0,0,1,0,0,0,0
ULSS 2 - Ospedale Treviso,0,0,229,113,0,0,0
ULSS 2 - Ospedale Oderzo,0,0,20,22,0,0,0
ULSS 2 - Ospedale Conegliano,0,0,18,21,0,0,0
ULSS 2 - Ospedale Vittorio Veneto °,0,0,220,40,0,0,0
ULSS 2 - Ospedale Castelfranco,0,0,40,8,0,0,0
ULSS 2 - Ospedale Montebelluna,0,0,55,12,0,0,0
Ospedale S. Camillo-Treviso °,0,0,54,4,0,0,0
Ospedale Riabilitativo  Motta di Livenza - Treviso,0,0,10,0,0,0,0
Casa di Cura Giovanni XXIII Monastier -TV,0,0,1,0,0,0,0
ULSS 3 - Ospedale Mestre,0,0,77,43,0,0,0
ULSS 3 - Ospedale Venezia,0,0,29,15,0,0,0
ULSS 3 - Ospedale Mirano,0,0,8,10,0,0,0
ULSS 3 - Ospedale Dolo °,3,0,154,118,0,0,0
ULSS 3 - Ospedale Chioggia,0,0,5,3,0,0,0
ULSS 3 - Ospedale di Noale,0,0,0,4,0,0,0
Ospedale Villa Salus (VE)°,0,0,137,15,0,0,0
Casa di cura San Marco - Mestre (VE),0,0,0,0,0,0,0
ULSS 4 - Ospedale Jesolo °,0,0,108,30,0,0,0
ULSS 4 - Ospedale Portogruaro,0,0,0,1,0,0,0
Casa di Cura Rizzola,0,0,14,1,0,0,0
ULSS 5 - Ospedale Rovigo,0,0,29,6,0,0,0
ULSS 5 - Ospedale Trecenta °,0,0,49,27,0,0,0
ULSS 5 - Ospedale Adria,0,0,7,0,0,0,0
ULSS 6 - Ospedale Schiavonia °,0,0,281,113,0,0,0
ULSS 6 - Ospedale Piove di Sacco,0,0,2,0,0,0,0
ULSS 6 - Ospedale Cittadella,0,0,2,9,0,0,0
ULSS 6 - Ospedale Camposampiero,0,0,6,10,0,0,0
ULSS 6 - Ospedale Conselve,0,0,1,0,0,0,0
Casa di cura Villa Maria (PD),0,0,2,0,0,0,0
ULSS 7 - Ospedale Santorso °,1,0,261,93,0,0,0
ULSS 7 - Ospedale Bassano,0,0,21,13,0,0,0
ULSS 7 - Ospedale Asiago,0,0,10,12,0,0,0
ULSS 8 - Ospedale Vicenza,2,0,172,104,0,0,0
ULSS 8 - Ospedale Noventa Vicentina,0,0,58,2,0,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,1,0,0,0
ULSS 8 - Ospedale Valdagno,0,0,23,5,0,0,0
ULSS 9 - Ospedale Legnago,0,0,78,51,0,0,0
ULSS 9 - Ospedale San Bonifacio,0,0,34,26,0,0,0
ULSS 9 - Ospedale Villafranca °,1,0,201,119,0,0,0
ULSS 9 - Ospedale Marzana,0,0,54,8,0,0,0
ULSS 9 - Ospedale Bussolengo,5,0,89,8,0,0,0
ULSS 9 - Ospedale San Biagio di Bovolone,0,0,10,0,0,0,0
ULSS 9 - Ospedale Malcesine,0,0,0,0,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,0,0,145,39,0,0,0
Ospedale P. Pederzoli-Peschiera,0,0,107,41,0,0,0
Casa di cura Villa Garda (VR),0,0,0,0,0,0,0
Istituto Oncologico Veneto,1,0,2,1,0,0,0
Ospedale di Comunità Belluno (BL),0,,35,17,0,0
Ospedale di Comunità  Agordo (BL),0,,33,1,0,0
Ospedale di Comunità- Auronzo (BL),0,,0,0,0,0
Ospedale di Comunità Alano di Piave (BL),0,,0,0,0,0
Ospedale di Comunità di Castelfranco  (TV),0,,5,0,0,0
Struttura COVID - Vedelago (TV),0,,54,4,0,0
Struttura COVID - Ormelle (TV),0,,24,4,0,0
Ospedale di Comunità Vittorio Veneto (TV),0,,57,2,0,0
Ospedale di Comunità SS. Giovanni e Paolo (VE),0,,1,0,0,0
Ospedale di Comunità Casa di Cura Rizzola (VE),0,,11,1,0,0
Ospedale di Cinto Caomaggiore (VE),0,,0,0,0,0
Ospedale di Comunità Civitas vitae (PD),0,,0,1,0,0
Ospedale di Comunità Villa Maria (PD),0,,40,1,0,0
Ospedale di Comunità Camposampiero (PD),0,,27,2,0,0
"Ospedale di Comunità Moretti Bonora
Camposampiero (PD)",0,,1,0,0,0
Ospedale di Comunità Montagnana (PD),1,,0,0,0,0
Ospedale di Comunità Marostica (VI),5,,21,8,0,0
Ospedale di Comunità Valeggio sul Mincio (VR),0,,0,0,0,0
Ospedale di comunità Tregnago (VR),0,,0,0,0,0
