struttura,non critici,delta,terapia intensiva,delta,negativizzati ricoverati,dimessi,decessi,delta
Azienda Ospedale Università Padova,63,+1),14,-3,34,250,56,+2)
Ospedale Sant'Antonio,0,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",46,-1,15,0,11,175,93,+1)
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",16,-3,25,0,11,48,25,0
ULSS 1 - Ospedale Belluno,38,+1),7,0,1,60,28,0
ULSS 1 - Ospedale Feltre,0,0,0,0,0,12,6,0
ULSS 2 - Ospedale Treviso,40,0,11,0,9,186,89,0
ULSS 2 - Ospedale Oderzo,6,0,7,0,2,16,15,0
ULSS 2 - Ospedale Conegliano,2,0,1,0,1,16,20,0
ULSS 2 - Ospedale Vittorio Veneto °,48,0,4,0,11,136,25,0
ULSS 2 - Ospedale Castelfranco,3,0,0,0,0,38,8,0
ULSS 2 - Ospedale Montebelluna,11,0,2,0,6,44,12,0
Ospedale S. Camillo-Treviso °,49,0,0,0,5,10,1,0
Ospedale Riabilitativo  Motta di Livenza - Treviso,3,0,0,0,3,0,0,0
ULSS 3 - Ospedale Mestre,26,0,8,0,22,62,33,0
ULSS 3 - Ospedale Venezia,10,0,4,0,7,20,11,0
ULSS 3 - Ospedale Mirano,0,0,3,-1,3,9,7,+1)
ULSS 3 - Ospedale Dolo °,71,-7,6,0,23,72,51,+1)
ULSS 3 - Ospedale Chioggia,0,0,0,0,0,1,3,0
Ospedale Villa Salus-Mestre °,53,+1),0,0,19,57,4,0
ULSS 4 - Ospedale San Donà di Piave,1,0,0,0,1,0,0,0
ULSS 4 - Ospedale Jesolo °,34,0,4,0,18,57,23,0
Casa di Cura Rizzola,10,0,0,0,8,7,1,0
ULSS 5 - Ospedale Rovigo,1,-1,0,0,1,22,5,0
ULSS 5 - Ospedale Trecenta °,47,+1),8,0,12,4,16,0
ULSS 5 - Ospedale Adria,2,0,0,0,2,1,0,0
ULSS 6 - Ospedale Schiavonia °,110,0,7,0,3,190,71,0
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,2,0,0,2,7,+1)
ULSS 6 - Ospedale Camposampiero,5,+1),0,0,1,1,6,0
ULSS 6 - Ospedale Conselve,1,0,0,0,1,0,0,0
ULSS 7 - Ospedale Santorso °,128,0,8,0,36,99,42,+4)
ULSS 7 - Ospedale Bassano,0,0,2,0,0,20,12,0
ULSS 7 - Ospedale Asiago,1,0,0,0,0,7,10,0
ULSS 8 - Ospedale Vicenza,47,-3,16,0,7,83,61,+2)
ULSS 8 - Ospedale Noventa Vicentina,22,-2,0,0,2,28,1,+1)
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,16,-1,0,0,2,11,3,0
ULSS 9 - Ospedale Legnago,49,-4,6,-1,2,43,40,+2)
ULSS 9 - Ospedale San Bonifacio,9,0,0,0,0,21,18,0
ULSS 9 - Ospedale Villafranca °,95,0,14,0,11,104,50,+1)
ULSS 9 - Ospedale Marzana,66,-1,0,0,19,3,3,0
ULSS 9 - Ospedale Bussolengo,22,0,0,0,6,15,1,0
ULSS 9 - Ospedale Bovolone,1,0,0,0,1,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,59,-5,8,-1,15,90,29,+2)
Ospedale P. Pederzoli-Peschiera,52,0,2,0,2,68,30,0
Istituto Oncologico Veneto,1,0,0,0,1,0,0,0
Ospedale di Comunità Belluno (BL),14,0,,,0,14,6,0
Ospedale di Comunità  Agordo (BL),14,0,,,3,5,1,0
Ospedale di Comunità di Castelfranco  (TV),2,0,,,0,1,0,0
Struttura COVID - Vedelago (TV),27,0,,,5,10,3,0
Struttura COVID - Ormelle (TV),14,0,,,11,13,4,0
Ospedale di Comunità Vittorio Veneto (TV),24,0,,,8,21,2,0
Ospedale di Comunità SS. Giovanni e Paolo (VE),1,0,,,0,0,0,0
Ospedale di Comunità Casa di Cura Rizzola (VE),10,0,,,4,3,0,0
Ospedale di Cinto Caomaggiore (VE),1,0,,,1,0,0,0
Ospedale di Comunità Villa Maria (PD),11,0,,,6,17,1,0
Ospedale di Comunità Camposampiero (PD),8,0,,,4,12,0,0
Ospedale di Comunità Marostica (VI),15,0,,,1,6,2,0
