struttura,non critici,delta,terapia intensiva,delta,negativizzati ricoverati,dimessi,decessi,delta
Azienda Ospedale Università Padova,45,0,10,0,38,295,64,+1)
Ospedale Sant'Antonio,0,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",17,+5),1,-6,6,205,113,+1)
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",15,-3,13,+3),11,71,30,0
ULSS 1 - Ospedale Belluno,26,-2,5,0,2,78,48,0
ULSS 1 - Ospedale Feltre,0,0,0,0,0,12,6,0
ULSS 2 - Ospedale Treviso,22,-4,5,+1),7,212,102,+1)
ULSS 2 - Ospedale Oderzo,3,0,1,0,2,20,21,0
ULSS 2 - Ospedale Conegliano,2,0,2,0,2,18,20,0
ULSS 2 - Ospedale Vittorio Veneto °,42,-5,0,0,6,182,31,0
ULSS 2 - Ospedale Castelfranco,1,0,0,0,1,40,8,0
ULSS 2 - Ospedale Montebelluna,4,0,1,0,5,51,12,0
Ospedale S. Camillo-Treviso °,2,-2,0,0,2,53,4,0
Ospedale Riabilitativo  Motta di Livenza - Treviso,9,0,0,0,9,0,0,0
Casa di Cura Giovanni XXIII Monastier -TV,1,0,0,0,1,0,0,0
ULSS 3 - Ospedale Mestre,5,0,6,0,10,78,39,0
ULSS 3 - Ospedale Venezia,3,-1,0,0,3,27,15,+1)
ULSS 3 - Ospedale Mirano,0,0,1,0,1,9,9,0
ULSS 3 - Ospedale Dolo °,93,+13),3,0,22,101,89,0
ULSS 3 - Ospedale Chioggia,0,0,0,0,0,2,3,0
ULSS 3 - Ospedale di Noale,12,+12),0,0,0,0,3,+1)
Ospedale Villa Salus (VE)°,36,0,0,0,10,86,8,0
ULSS 4 - Ospedale Jesolo °,22,-3,5,0,12,79,25,0
Casa di Cura Rizzola,0,0,0,0,0,16,1,0
ULSS 5 - Ospedale Rovigo,1,-2,1,+1),2,24,5,0
ULSS 5 - Ospedale Trecenta °,26,+1),2,-1,9,23,24,0
ULSS 5 - Ospedale Adria,3,-2,0,0,3,3,0,0
ULSS 6 - Ospedale Schiavonia °,63,-3,5,0,13,245,99,0
ULSS 6 - Ospedale Piove di Sacco,0,0,1,+1),0,1,0,0
ULSS 6 - Ospedale Cittadella,1,0,0,0,0,2,7,0
ULSS 6 - Ospedale Camposampiero,4,-1,1,+1),5,3,7,0
ULSS 6 - Ospedale Conselve,1,0,0,0,1,0,0,0
ULSS 7 - Ospedale Santorso °,102,-7,5,0,47,157,67,+1)
ULSS 7 - Ospedale Bassano,1,+1),0,0,1,20,13,0
ULSS 7 - Ospedale Asiago,0,0,0,0,0,8,11,0
ULSS 8 - Ospedale Vicenza,38,0,5,0,16,116,93,0
ULSS 8 - Ospedale Noventa Vicentina,20,0,0,0,13,39,2,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,0,0,0,0,0,24,5,0
ULSS 9 - Ospedale Legnago,27,0,1,-1,12,63,49,0
ULSS 9 - Ospedale San Bonifacio,8,-3,1,+1),1,24,25,0
ULSS 9 - Ospedale Villafranca °,93,-2,9,0,12,144,91,+3)
ULSS 9 - Ospedale Marzana,50,-2,0,0,28,35,4,0
ULSS 9 - Ospedale Bussolengo,21,-2,0,0,5,38,3,0
ULSS 9 - Ospedale San Biagio di Bovolone,3,0,0,0,3,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,31,0,3,-1,17,122,34,0
Ospedale P. Pederzoli-Peschiera,37,0,2,0,22,83,38,-1
Istituto Oncologico Veneto,0,0,0,0,0,2,1,0
Ospedale di Comunità Belluno (BL),13,0,,,1,26,13,0
Ospedale di Comunità  Agordo (BL),24,-1,,,2,16,1,0
Ospedale di Comunità di Castelfranco  (TV),2,0,,,1,3,0,0
Struttura COVID - Vedelago (TV),22,+2),,,8,31,3,0
Struttura COVID - Ormelle (TV),0,0,,,0,24,4,0
Ospedale di Comunità Vittorio Veneto (TV),20,+3),,,14,28,2,0
Ospedale di Comunità Casa di Cura Rizzola (VE),0,0,,,0,11,1,0
Ospedale di Cinto Caomaggiore (VE),3,0,,,2,0,0,0
Ospedale di Comunità Villa Maria (PD),9,+1),,,5,30,1,0
Ospedale di Comunità Camposampiero (PD),11,+1),,,7,15,1,0
Ospedale di Comunità Marostica (VI),14,-2,,,3,13,3,0
