"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-ospedale)
-dato
cumulativo","Negativizzati
virologici -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 24.04
ore 20.00)"
Padova (escluso domiciliati Vo'),3715,+8),1552,227,1936,1143,
Cluster domiciliati Comune di Vò,87,0,5,3,79,,
Treviso,2439,+19),1212,238,989,1704,
Venezia,2342,+2),955,187,1200,1104,
Verona,4473,+75),2982,342,1149,1356,
Vicenza,2536,+53),1503,191,842,1498,
Belluno,1047,+5),724,61,262,1304,
Rovigo,416,+3),279,28,109,613,
Domicilio fuori Veneto,291,+3),176,10,105,,
Assegnazione in corso,45,-6,44,1,0,,
Struttura di ricovero,"Pazienti  in AREA
NON CRITICA^","Δ area non
critica","Pazienti in
TERAPIA
INTENSIVA ^",Δ Ter Int,"Negativizzati
virologici
attualmente
ricoverati**","dimessi dal
21.2","decessi dal
21.2*",Δ decessi
Azienda Ospedale Università Padova,62,-3,11,0,33,274,56,0
Ospedale Sant'Antonio,0,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",41,-2,10,0,14,189,101,+3)
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",16,-1,11,0,6,67,26,0
ULSS 1 - Ospedale Belluno,43,0,7,0,1,65,33,+1)
ULSS 1 - Ospedale Feltre,0,0,0,0,0,12,6,0
ULSS 2 - Ospedale Treviso,23,-12,8,0,5,203,96,+1)
ULSS 2 - Ospedale Oderzo,6,-1,3,0,3,18,18,0
ULSS 2 - Ospedale Conegliano,4,+1),0,0,0,16,20,0
ULSS 2 - Ospedale Vittorio Veneto °,59,0,6,0,24,157,27,+1)
ULSS 2 - Ospedale Castelfranco,3,-1,0,0,0,38,8,0
ULSS 2 - Ospedale Montebelluna,13,+2),0,0,3,47,12,0
Ospedale S. Camillo-Treviso °,18,-1,0,0,6,40,4,0
Ospedale Riabilitativo  Motta di Livenza - Treviso,8,0,0,0,8,0,0,0
ULSS 3 - Ospedale Mestre,17,0,2,-3,11,72,37,0
ULSS 3 - Ospedale Venezia,3,-5,4,0,7,25,13,+2)
ULSS 3 - Ospedale Mirano,1,0,0,0,1,9,9,0
ULSS 3 - Ospedale Dolo °,71,+4),6,+1),22,86,64,+2)
ULSS 3 - Ospedale Chioggia,1,+1),0,0,1,1,3,0
Ospedale Villa Salus-Mestre °,48,+1),0,0,15,71,5,0
ULSS 4 - Ospedale San Donà di Piave,1,0,0,0,1,0,0,0
ULSS 4 - Ospedale Jesolo °,28,0,5,0,12,69,24,0
Casa di Cura Rizzola,4,0,0,0,1,14,1,0
ULSS 5 - Ospedale Rovigo,1,0,0,0,1,22,5,0
ULSS 5 - Ospedale Trecenta °,40,-3,3,0,7,12,22,0
ULSS 5 - Ospedale Adria,2,0,0,0,2,1,0,0
ULSS 6 - Ospedale Schiavonia °,93,-2,5,0,7,214,90,+2)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,0,0,0,2,7,0
ULSS 6 - Ospedale Camposampiero,4,-1,0,0,2,2,7,+1)
ULSS 6 - Ospedale Conselve,1,0,0,0,1,0,0,0
ULSS 7 - Ospedale Santorso °,108,-2,9,0,41,122,53,0
ULSS 7 - Ospedale Bassano,0,-1,0,0,0,20,13,+1)
ULSS 7 - Ospedale Asiago,2,0,0,0,1,7,10,0
ULSS 8 - Ospedale Vicenza,38,-7,16,0,11,93,69,+5)
ULSS 8 - Ospedale Noventa Vicentina,20,-1,0,0,4,33,1,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,11,-1,0,0,2,18,5,0
ULSS 9 - Ospedale Legnago,41,-1,7,0,15,49,43,0
ULSS 9 - Ospedale San Bonifacio,4,-3,0,0,0,21,22,+1)
ULSS 9 - Ospedale Villafranca °,96,-3,9,+1),15,120,69,+6)
ULSS 9 - Ospedale Marzana,60,0,0,0,27,17,3,0
ULSS 9 - Ospedale Bussolengo,21,-2,0,0,11,24,3,0
Ospedale Sacro Cuore Don Calabria-Negrar,43,-10,6,0,14,110,31,+1)
Ospedale P. Pederzoli-Peschiera,47,0,1,0,5,74,35,0
Istituto Oncologico Veneto,3,0,0,0,3,0,0,0
TOTALE REGIONE VENETO,1105,-54,129,-1,343,2435,1053,+27),
Struttura di ricovero,"Pazienti
presenti^",Δ paz. presenti,"Negativizzati
virologici
attualmente
ricoverati**",dimessi dal 21.2,"decessi dal
21.2*",Δ decessi,
Ospedale di Comunità Belluno (BL),16,+1),0,18,9,0,
Ospedale di Comunità  Agordo (BL),31,+12),5,8,1,0,
Ospedale di Comunità di Castelfranco  (TV),1,-1,0,3,0,0,
Struttura COVID - Vedelago (TV),18,-1,11,23,3,0,
Struttura COVID - Ormelle (TV),6,-1,3,20,4,0,
Ospedale di Comunità Vittorio Veneto (TV),4,0,2,28,2,0,
Ospedale di Comunità Casa di Cura Rizzola (VE),7,-1,2,4,0,0,
Ospedale di Cinto Caomaggiore (VE),2,0,2,0,0,0,
Ospedale di Comunità Villa Maria (PD),9,-2,4,23,1,0,
Ospedale di Comunità Camposampiero (PD),12,+1),8,11,0,0,
Ospedale di Comunità Marostica (VI),20,+1),1,6,2,0,
