"Raggruppamenti sulla base del domicilio
del soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-
ospedale) -
dato
cumulativo","Negativizzati
virologici^ -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 30.3
ore 20.00)"
Padova (escluso domiciliati Vo'),2227,48,2026,79,122,3291,
Cluster domiciliati Comune di Vò,85,0,23,3,59,,
Treviso,1529,7,1306,108,115,4398,
Venezia,1192,22,1038,71,83,4252,
Verona,2221,109,2037,145,39,3592,
Vicenza,1272,30,1145,67,60,2592,
Belluno,441,11,409,12,20,1269,
Rovigo,135,-1,123,3,9,551,
Domicilio fuori Veneto,186,18,166,4,16,,
Assegnazione in corso,86,-25,86,0,0,,
Struttura di ricovero,"Pazienti  in AREA
NON CRITICA","Δ area non
critica","Pazienti in
TERAPIA
INTENSIVA",Δ Ter Int,"dimessi dal
21.2","decessi dal
21.2*",Δ decessi
Azienda Ospedale Università Padova,114,0,32,0,133,22,+1)
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Roma",84,+3),24,0,97,59,+1)
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Trento",39,-1,32,0,17,15,0
ULSS 1 - Ospedale Belluno,44,+2),10,0,29,11,+1)
ULSS 1 - Ospedale di Comunità Belluno,9,+3),0,0,0,1,0
ULSS 1 - Ospedale Feltre,8,-2,0,0,7,4,0
ULSS 1 - Ospedale di Comunità Agordo,12,0,0,0,1,0,0
ULSS 2 - Ospedale Treviso,119,+5),23,-3,137,61,+1)
ULSS 2 - Ospedale Oderzo,18,-3,6,0,8,5,0
ULSS 2 - Ospedale Conegliano,10,-4,8,0,14,13,0
ULSS 2 - Ospedale Vittorio Veneto °,139,+16),7,+1),41,11,+1)
ULSS 2 - Ospedale Castelfranco,29,+8),0,0,14,6,0
ULSS 2 - Ospedale Montebelluna,37,+12),8,0,18,6,0
Ospedale S. Camillo-Treviso °,46,+4),0,0,0,0,0
ULSS 3 - Ospedale Mestre,49,+1),15,0,25,20,+1)
ULSS 3 - Ospedale Venezia,12,+1),6,0,12,6,0
ULSS 3 - Ospedale Mirano,1,0,10,0,7,6,0
ULSS 3 - Ospedale Dolo °,92,+6),16,0,19,17,0
ULSS 3 - Ospedale Chioggia,0,0,0,0,0,3,0
Ospedale Villa Salus-Mestre °,27,+2),0,0,15,2,0
ULSS 4 - Ospedale Jesolo °,54,-5,12,-1,22,13,+1)
Casa di Cura Rizzola,14,0,0,0,0,0,0
ULSS 5 - Ospedale Rovigo,26,+1),0,0,11,2,0
ULSS 5 - Ospedale Trecenta °,5,0,9,0,0,0,0
ULSS 5 - Ospedale Adria,0,0,0,0,0,0,0
ULSS 6 - Ospedale Schiavonia °,126,+5),25,0,80,36,0
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,6,0,5,2,0
ULSS 6 - Ospedale Camposampiero,10,0,0,0,5,3,0
Casa di Cura Villa Maria OdC - Padova,7,-1,0,0,5,1,0
ULSS 7 - Ospedale Santorso °,83,+4),17,+2),22,15,0
ULSS 7 - Ospedale Bassano,27,0,6,0,7,9,0
ULSS 7 - Ospedale Asiago,23,0,0,0,0,9,0
ULSS 8 - Ospedale Vicenza,76,0,26,0,38,37,0
ULSS 8 - Ospedale Noventa Vicentina,19,0,0,0,7,0,0
ULSS 8 - Ospedale Valdagno,13,0,0,0,0,1,0
ULSS 9 - Ospedale Legnago,68,+1),8,0,2,21,0
ULSS 9 - Ospedale San Bonifacio,16,0,7,0,1,4,+1)
ULSS 9 - Ospedale Villafranca °,118,-5,19,-1,29,15,+3)
ULSS 9 - Ospedale Marzana,27,0,0,0,1,0,0
IRCCS - IOV,0,0,0,0,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,83,0,10,0,26,17,+2)
Ospedale P. Pederzoli-Peschiera,48,-1,10,-2,17,12,+4)
