"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-
ospedale) -
dato
cumulativo","Negativizzati
virologici -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 08.04
ore 20.00)"
Padova (escluso domiciliati Vo'),3069,+22),2574,139,356,4853,
Cluster domiciliati Comune di Vò,87,0,14,3,70,,
Treviso,1912,+6),1427,149,336,3570,
Venezia,1760,+9),1245,117,398,3328,
Verona,3090,+41),2675,227,188,2446,
Vicenza,1928,+43),1516,98,314,2599,
Belluno,644,+24),549,30,65,1171,
Rovigo,250,+1),199,12,39,586,
Domicilio fuori Veneto,229,0,182,8,39,,
Assegnazione in corso,117,+7),116,1,0,,
Struttura di ricovero,"Pazienti  in AREA
NON CRITICA","Δ area non
critica","Pazienti in
TERAPIA
INTENSIVA",Δ Ter Int,"dimessi dal
21.2","decessi dal
21.2*",Δ decessi
Azienda Ospedale Università Padova,113,-3,17,-2,182,40,+1)
Ospedale Sant'Antonio,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",64,+1),15,0,138,78,+1)
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",28,-2,25,0,31,19,+1)
ULSS 1 - Ospedale Belluno,42,+1),8,0,40,21,0
ULSS 1 - Ospedale Feltre,1,-3,0,0,11,5,0
ULSS 2 - Ospedale Treviso,69,-1,17,-2,156,76,+3)
ULSS 2 - Ospedale Oderzo,8,-2,6,0,14,9,0
ULSS 2 - Ospedale Conegliano,1,+1),7,0,17,17,0
ULSS 2 - Ospedale Vittorio Veneto °,79,-8,6,0,100,18,0
ULSS 2 - Ospedale Castelfranco,17,-3,0,0,26,7,0
ULSS 2 - Ospedale Montebelluna,21,+2),6,0,35,9,0
Ospedale S. Camillo-Treviso °,44,0,0,0,10,1,0
ULSS 3 - Ospedale Mestre,27,-3,15,+1),47,30,+2)
ULSS 3 - Ospedale Venezia,12,+1),6,0,14,10,0
ULSS 3 - Ospedale Mirano,2,-1,6,0,7,6,0
ULSS 3 - Ospedale Dolo °,88,0,11,0,50,34,+1)
ULSS 3 - Ospedale Chioggia,1,0,0,0,0,3,0
Ospedale Villa Salus-Mestre °,47,0,0,0,35,3,0
ULSS 4 - Ospedale Jesolo °,42,0,9,-2,42,21,+1)
Casa di Cura Rizzola,11,0,0,0,4,1,0
ULSS 5 - Ospedale Rovigo,14,+2),0,0,17,4,0
ULSS 5 - Ospedale Trecenta °,39,+9),10,-1,3,7,+1)
ULSS 5 - Ospedale Adria,1,0,0,0,0,0,0
ULSS 6 - Ospedale Schiavonia °,116,0,16,-2,142,56,+4)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,4,0,2,3,0
ULSS 6 - Ospedale Camposampiero,6,+1),0,0,1,5,0
ULSS 7 - Ospedale Santorso °,128,+4),14,-1,53,24,+2)
ULSS 7 - Ospedale Bassano,4,-2,3,-2,17,14,+2)
ULSS 7 - Ospedale Asiago,2,0,0,0,7,10,0
ULSS 8 - Ospedale Vicenza,63,0,21,0,61,46,0
ULSS 8 - Ospedale Noventa Vicentina,21,0,0,0,20,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,18,0,0,0,4,3,0
ULSS 9 - Ospedale Legnago,60,-1,6,-1,19,34,0
ULSS 9 - Ospedale San Bonifacio,24,+3),6,-1,12,10,+1)
ULSS 9 - Ospedale Villafranca °,108,-12,12,0,74,30,+2)
ULSS 9 - Ospedale Marzana,62,+3),0,0,2,1,0
ULSS 9 - Ospedale Bussolengo,15,+3),0,0,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,80,-4,7,0,55,24,0
Ospedale P. Pederzoli-Peschiera,43,+5),5,-3,47,23,+2)
TOTALE REGIONE VENETO,1521,-9,258,-16,1496,704,+24),
Struttura di ricovero,Pazienti presenti,Δ paz. presenti,dimessi dal 21.2,decessi dal 21.2*,Δ decessi
Ospedale di Comunità Belluno (BL),15,+1),8,3,0
Ospedale di Comunità  Agordo (BL),14,+1),1,1,0
Ospedale di Comunità di Castelfranco,1,+1),0,0,0
Struttura COVID - Vedelago (TV),30,-2,3,2,+1)
Struttura COVID - Ormelle (TV),24,0,0,4,+3)
Ospedale di Comunità Vittorio Veneto,26,-3,11,2,0
Ospedale di Comunità Casa di Cura Rizzola (VE),7,0,3,0,0
Ospedale di Comunità Villa Maria (PD),12,-2,11,1,0
Ospedale di Comunità Camposampiero (PD),8,+2),10,0,0
Ospedale di Comunità Marostica (VI),10,0,1,0,0
