"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-
ospedale) -
dato
cumulativo","Negativizzati
virologici -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 09.04
ore 20.00)"
Padova (escluso domiciliati Vo'),3131,+12),2585,149,397,4905,
Cluster domiciliati Comune di Vò,87,0,11,3,73,,
Treviso,1948,+4),1421,154,373,3620,
Venezia,1795,+15),1221,118,456,3382,
Verona,3274,+17),2812,235,227,2336,
Vicenza,1986,+33),1524,111,351,2574,
Belluno,650,+1),552,32,66,1142,
Rovigo,273,+2),202,13,58,608,
Domicilio fuori Veneto,236,+2),186,8,42,,
Assegnazione in corso,79,-48,78,1,0,,
Struttura di ricovero,"Pazienti  in AREA
NON CRITICA","Δ area non
critica","Pazienti in
TERAPIA
INTENSIVA",Δ Ter Int,"dimessi dal
21.2","decessi dal
21.2*",Δ decessi
Azienda Ospedale Università Padova,103,-6,18,0,196,42,+1)
Ospedale Sant'Antonio,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",60,-3,15,0,142,79,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",28,-2,25,0,33,20,+1)
ULSS 1 - Ospedale Belluno,44,+2),8,0,40,21,0
ULSS 1 - Ospedale Feltre,1,+1),0,-1,11,5,0
ULSS 2 - Ospedale Treviso,68,-1,18,+1),160,78,+2)
ULSS 2 - Ospedale Oderzo,10,+2),6,0,14,9,0
ULSS 2 - Ospedale Conegliano,0,0,6,-1,17,18,0
ULSS 2 - Ospedale Vittorio Veneto °,68,-10,4,-2,112,19,0
ULSS 2 - Ospedale Castelfranco,12,-5,0,0,30,7,0
ULSS 2 - Ospedale Montebelluna,19,-2,6,0,36,10,+1)
Ospedale S. Camillo-Treviso °,44,0,0,0,10,1,0
Ospedale civ. Motta di Livenza - Treviso,1,+1),0,0,0,0,0
ULSS 3 - Ospedale Mestre,27,+1),13,-1,50,30,0
ULSS 3 - Ospedale Venezia,12,0,6,0,15,10,0
ULSS 3 - Ospedale Mirano,2,0,6,0,7,6,0
ULSS 3 - Ospedale Dolo °,88,-1,10,0,53,34,0
ULSS 3 - Ospedale Chioggia,1,0,0,0,0,3,0
Ospedale Villa Salus-Mestre °,44,-3,0,0,42,4,0
ULSS 4 - Ospedale San Donà di Piave,1,0,0,0,0,0,0
ULSS 4 - Ospedale Jesolo °,42,+2),6,-3,45,21,0
Casa di Cura Rizzola,10,-1,0,0,6,1,0
ULSS 5 - Ospedale Rovigo,12,+2),0,0,18,5,0
ULSS 5 - Ospedale Trecenta °,42,+1),10,0,3,7,0
ULSS 5 - Ospedale Adria,1,0,0,0,0,0,0
ULSS 6 - Ospedale Schiavonia °,106,-7,15,-1,156,60,+3)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,4,0,2,3,0
ULSS 6 - Ospedale Camposampiero,5,-1,0,0,1,5,0
ULSS 7 - Ospedale Santorso °,132,+2),13,-1,59,28,+4)
ULSS 7 - Ospedale Bassano,5,-7,3,0,17,12,-2**
ULSS 7 - Ospedale Asiago,2,0,0,0,7,10,0
ULSS 8 - Ospedale Vicenza,61,-2,21,0,65,49,+2)
ULSS 8 - Ospedale Noventa Vicentina,19,0,0,0,22,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,17,0,0,0,5,3,0
ULSS 9 - Ospedale Legnago,59,+1),7,+1),21,35,0
ULSS 9 - Ospedale San Bonifacio,27,+4),3,-2,13,12,+2)
ULSS 9 - Ospedale Villafranca °,113,-3,12,0,73,34,+4)
ULSS 9 - Ospedale Marzana,62,0,0,0,2,1,0
ULSS 9 - Ospedale Bussolengo,15,0,0,0,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,75,-6,8,+1),60,24,0
Ospedale P. Pederzoli-Peschiera,40,-2,5,0,51,24,+1)
TOTALE REGIONE VENETO,1478,-43,248,-9,1595,732,19,
Struttura di ricovero,Pazienti presenti,Δ paz. presenti,dimessi dal 21.2,decessi dal 21.2*,Δ decessi
Ospedale di Comunità Belluno (BL),15,0,9,4,+1)
Ospedale di Comunità  Agordo (BL),15,+1),1,1,0
Ospedale di Comunità di Castelfranco,1,0,0,0,0
Struttura COVID - Vedelago (TV),31,+1),3,2,0
Struttura COVID - Ormelle (TV),24,0,2,4,0
Ospedale di Comunità Vittorio Veneto,27,+1),11,2,0
Ospedale di Comunità Casa di Cura Rizzola (VE),7,0,3,0,0
Ospedale di Comunità Villa Maria (PD),12,0,11,1,0
Ospedale di Comunità Camposampiero (PD),8,0,10,0,0
Ospedale di Comunità Marostica (VI),18,+8),2,2,+2)
