"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-ospedale)
-dato
cumulativo","Negativizzati
virologici -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 14.04
ore 20.00)"
Padova (escluso domiciliati Vo'),3420,+57),2363,180,877,4882,
Cluster domiciliati Comune di Vò,87,0,8,3,76,,
Treviso,2133,+100),1537,173,423,2864,
Venezia,2031,+18),1229,141,661,3349,
Verona,3684,+35),3064,267,353,1871,
Vicenza,2155,+19),1579,125,451,2380,
Belluno,751,+28),623,40,88,1052,
Rovigo,295,+4),218,21,56,560,
Domicilio fuori Veneto,257,+7),188,8,61,,
Assegnazione in corso,71,-8,70,1,0,,
Struttura di ricovero,"Pazienti  in AREA
NON CRITICA","Δ area non
critica","Pazienti in
TERAPIA
INTENSIVA",Δ Ter Int,"dimessi dal
21.2","decessi dal
21.2*",Δ decessi
Azienda Ospedale Università Padova,86,-6,17,0,220,53,+3)
Ospedale Sant'Antonio,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",50,-2,15,0,160,86,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",27,-1,25,0,40,21,+1)
ULSS 1 - Ospedale Belluno,43,+4),8,-1,50,24,+2)
ULSS 1 - Ospedale Feltre,0,-1,0,0,12,6,+1)
ULSS 2 - Ospedale Treviso,44,0,12,-2,182,88,0
ULSS 2 - Ospedale Oderzo,8,+1),7,0,16,12,0
ULSS 2 - Ospedale Conegliano,1,0,5,0,16,19,0
ULSS 2 - Ospedale Vittorio Veneto °,61,-4,4,0,122,21,0
ULSS 2 - Ospedale Castelfranco,7,-1,0,0,34,8,0
ULSS 2 - Ospedale Montebelluna,10,-3,7,0,40,12,+1)
Ospedale S. Camillo-Treviso °,48,0,0,0,10,1,0
Ospedale Riabilitativo  Motta di Livenza - Treviso,3,+2),0,0,0,0,0
ULSS 3 - Ospedale Mestre,28,+1),10,-1,58,32,0
ULSS 3 - Ospedale Venezia,10,0,6,0,17,11,0
ULSS 3 - Ospedale Mirano,2,0,5,-1,8,6,0
ULSS 3 - Ospedale Dolo °,82,+2),8,+1),59,46,0
ULSS 3 - Ospedale Chioggia,1,0,0,0,0,3,0
Ospedale Villa Salus-Mestre °,45,+4),0,0,54,4,0
ULSS 4 - Ospedale San Donà di Piave,1,0,0,0,0,0,0
ULSS 4 - Ospedale Jesolo °,38,-4,4,0,53,23,+1)
Casa di Cura Rizzola,10,0,0,0,7,1,0
ULSS 5 - Ospedale Rovigo,3,+1),0,0,20,6,0
ULSS 5 - Ospedale Trecenta °,45,0,9,0,4,14,+1)
ULSS 5 - Ospedale Adria,1,0,0,0,1,0,0
ULSS 6 - Ospedale Schiavonia °,117,+4),9,0,171,69,+2)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,4,0,2,3,0
ULSS 6 - Ospedale Camposampiero,4,0,0,0,1,6,0
ULSS 7 - Ospedale Santorso °,147,+5),9,-1,75,34,+2)
ULSS 7 - Ospedale Bassano,0,0,3,0,20,12,0
ULSS 7 - Ospedale Asiago,1,0,0,0,7,10,0
ULSS 8 - Ospedale Vicenza,53,-2,19,0,77,56,0
ULSS 8 - Ospedale Noventa Vicentina,22,+1),0,0,25,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,18,0,0,0,8,3,0
ULSS 9 - Ospedale Legnago,56,-2,6,0,34,37,0
ULSS 9 - Ospedale San Bonifacio,28,+4),0,-3,19,13,0
ULSS 9 - Ospedale Villafranca °,102,-3,10,+3),90,43,0
ULSS 9 - Ospedale Marzana,65,-1,0,0,3,2,+1)
ULSS 9 - Ospedale Bussolengo,24,+2),0,0,5,1,0
Ospedale Sacro Cuore Don Calabria-Negrar,65,-2,8,0,79,26,0
Ospedale P. Pederzoli-Peschiera,46,+1),4,0,67,28,+2)
Istituto Oncologico Veneto,1,+1),0,0,0,0,0
Struttura di ricovero,Pazienti presenti,Δ paz. presenti,dimessi dal 21.2,decessi dal 21.2*,Δ decessi
Ospedale di Comunità Belluno (BL),15,-1,12,5,0
Ospedale di Comunità  Agordo (BL),14,+1),4,1,0
Ospedale di Comunità di Castelfranco  (TV),2,0,0,0,0
Struttura COVID - Vedelago (TV),27,+1),10,3,0
Struttura COVID - Ormelle (TV),24,-1,3,4,0
Ospedale di Comunità Vittorio Veneto (TV),26,+2),16,2,0
Ospedale di Comunità SS. Giovanni e Paolo (VE),1,0,0,0,0
Ospedale di Comunità Casa di Cura Rizzola (VE),8,0,3,0,0
Ospedale di Comunità Villa Maria (PD),10,0,13,1,0
Ospedale di Comunità Camposampiero (PD),8,0,11,0,0
Ospedale di Comunità Marostica (VI),19,0,2,2,0
TOTALE REGIONE VENETO,154,+2),74,18,0,
