"Raggruppamenti sulla base del domicilio
del soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-
ospedale) -
dato
cumulativo","Negativizzati
virologici^ -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 03.04
ore 20.00)"
Padova (escluso domiciliati Vo'),2588,+42),2294,103,191,4424,
Cluster domiciliati Comune di Vò,86,0,17,3,66,,
Treviso,1689,+2),1374,122,193,4183,
Venezia,1379,+17),1139,96,144,4318,
Verona,2567,+20),2282,189,96,2539,
Vicenza,1636,+28),1392,79,165,2657,
Belluno,535,+13),484,22,29,1324,
Rovigo,184,0,162,5,17,613,
Domicilio fuori Veneto,204,-1,177,5,22,,
Assegnazione in corso,78,+1),78,0,0,,
Struttura di ricovero,"Pazienti  in AREA
NON CRITICA","Δ area non
critica","Pazienti in
TERAPIA
INTENSIVA",Δ Ter Int,"dimessi dal
21.2","decessi dal
21.2*",Δ decessi
Azienda Ospedale Università Padova,102,+2),31,0,154,31,+2)
Ospedale Sant'Antonio,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Roma",75,-1,21,0,119,67,+1)
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Trento",34,+1),31,+1),21,16,+1)
ULSS 1 - Ospedale Belluno,36,0,9,0,34,17,0
ULSS 1 - Ospedale Feltre,8,-2,0,0,9,5,0
ULSS 2 - Ospedale Treviso,80,-6,20,-1,137,65,+2)
ULSS 2 - Ospedale Oderzo,12,0,6,+1),10,7,0
ULSS 2 - Ospedale Conegliano,1,-1,7,0,15,15,0
ULSS 2 - Ospedale Vittorio Veneto °,135,-3,6,0,68,15,+1)
ULSS 2 - Ospedale Castelfranco,28,0,0,0,18,6,0
ULSS 2 - Ospedale Montebelluna,21,0,9,0,28,8,0
Ospedale S. Camillo-Treviso °,49,0,0,0,4,0,0
ULSS 3 - Ospedale Mestre,36,-4,14,+2),39,26,0
ULSS 3 - Ospedale Venezia,9,-1,7,0,13,8,+1)
ULSS 3 - Ospedale Mirano,0,-1,9,0,7,7,0
ULSS 3 - Ospedale Dolo °,82,-1,11,0,33,26,0
ULSS 3 - Ospedale Chioggia,0,0,0,0,0,3,0
Ospedale Villa Salus-Mestre °,46,+8),0,0,22,2,0
ULSS 4 - Ospedale Jesolo °,45,0,11,-1,28,16,0
Casa di Cura Rizzola,9,0,0,0,3,1,0
ULSS 5 - Ospedale Rovigo,5,-20,0,0,16,3,-1**
ULSS 5 - Ospedale Trecenta °,29,+20),11,0,1,2,1**
ULSS 6 - Ospedale Schiavonia °,107,-3,21,0,114,45,+3)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,5,0,5,2,0
ULSS 6 - Ospedale Camposampiero,12,+2),0,0,5,4,0
Casa di Cura Villa Maria  - Padova,14,0,0,0,8,1,0
ULSS 7 - Ospedale Santorso °,103,0,16,0,32,17,0
ULSS 7 - Ospedale Bassano,9,0,6,0,15,11,0
ULSS 7 - Ospedale Asiago,4,0,0,0,8,10,0
ULSS 8 - Ospedale Vicenza,70,0,26,0,49,40,0
ULSS 8 - Ospedale Noventa Vicentina,22,0,0,0,11,0,0
ULSS 8 - Ospedale Valdagno,15,0,0,0,2,2,0
ULSS 9 - Ospedale Legnago,67,-4,5,0,9,29,+2)
ULSS 9 - Ospedale San Bonifacio,27,+3),7,+1),1,8,+1)
ULSS 9 - Ospedale Villafranca °,112,-5,16,0,45,25,+1)
ULSS 9 - Ospedale Marzana,47,+4),0,0,1,1,0
Ospedale Sacro Cuore Don Calabria-Negrar,85,+4),10,0,38,19,0
Ospedale P. Pederzoli-Peschiera,50,0,12,0,25,17,0
Struttura di ricovero,Pazienti presenti,Δ paz. presenti,dimessi dal 21.2,"decessi dal 21.2
*",Δ decessi
Ospedale di Comunità Belluno,14,0,1,3,0
Ospedale di Comunità  Agordo,12,0,0,1,0
Centro Servizi Civitas Vitae - Vedelago,34,0,0,0,0
Centro Servizi Casa Luigi e Augusta - Ormelle,20,+1),0,1,0
Ospedale di Comunità Casa di Cura Rizzola,7,0,2,0,0
Ospedale di Comunità c/o Ospedale di Adria,1,0,0,0,0
Ospedale di Comunità Marostica,10,0,0,0,0
