"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-ospedale)
-dato
cumulativo","Negativizzati
virologici -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 04.05
ore 20.00)"
Padova (escluso domiciliati Vo'),3791,+3),725,251,2815,,611
Cluster domiciliati Comune di Vò,88,0,2,3,83,,
Treviso,2562,+2),949,271,1342,1128,
Venezia,2533,+14),622,232,1679,810,
Verona,4850,+19),2565,432,1853,1094,
Vicenza,2728,+6),1094,234,1400,1075,
Belluno,1140,0,561,90,489,1032,
Rovigo,429,0,239,31,159,603,
Domicilio fuori Veneto,292,0,160,13,119,,
Assegnazione in corso,30,-3,30,0,0,,
TOTALE REGIONE VENETO,18443,+41),6947,1557,9939,6353,,
Struttura di ricovero,"Pazienti  in AREA
NON CRITICA^","Δ area non
critica","Pazienti in
TERAPIA
INTENSIVA ^",Δ Ter Int,"Negativizzati
virologici
attualmente
ricoverati**","dimessi dal
21.2","decessi dal
21.2*",Δ decessi
Azienda Ospedale Università Padova,49,0,10,0,36,291,63,0
Ospedale Sant'Antonio,0,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",13,-3,7,0,6,205,111,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",18,+2),10,0,11,71,30,0
ULSS 1 - Ospedale Belluno,28,-1,5,-1,1,77,48,+2)
ULSS 1 - Ospedale Feltre,0,0,0,0,0,12,6,0
ULSS 2 - Ospedale Treviso,24,-5,4,-1,11,208,101,+1)
ULSS 2 - Ospedale Oderzo,3,-2,1,0,2,20,21,0
ULSS 2 - Ospedale Conegliano,2,+1),2,0,2,18,20,0
ULSS 2 - Ospedale Vittorio Veneto °,47,-1,0,0,8,180,31,0
ULSS 2 - Ospedale Castelfranco,1,0,0,0,1,40,8,0
ULSS 2 - Ospedale Montebelluna,4,-1,1,0,5,51,12,0
Ospedale S. Camillo-Treviso °,8,-3,0,0,4,51,4,0
Ospedale Riabilitativo  Motta di Livenza - Treviso,9,+1),0,0,9,0,0,0
Casa di Cura Giovanni XXIII Monastier -TV,1,+1),0,0,1,0,0,0
