"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-ospedale)
-dato
cumulativo","Negativizzati
virologici -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 29.04
ore 20.00)"
Padova (escluso domiciliati Vo'),3767,+4),1076,244,2447,,876
Cluster domiciliati Comune di Vò,88,0,12,3,73,,
Treviso,2513,+2),1081,258,1174,1341,
Venezia,2459,+21),757,214,1488,904,
Verona,4679,+13),2842,414,1423,1241,
Vicenza,2656,+12),1284,218,1154,1307,
Belluno,1109,+2),672,79,358,1248,
Rovigo,427,0,273,31,123,554,
Domicilio fuori Veneto,280,0,158,13,109,,
Assegnazione in corso,36,0,36,0,0,,
TOTALE REGIONE VENETO,18014,+54),8191,1474,8349,7471,,
Struttura di ricovero,"Pazienti  in AREA
NON CRITICA^","Δ area non
critica","Pazienti in
TERAPIA
INTENSIVA ^",Δ Ter Int,"Negativizzati
virologici
attualmente
ricoverati**","dimessi dal
21.2","decessi dal
21.2*",Δ decessi
Azienda Ospedale Università Padova,50,-2,13,+1),35,285,60,0
Ospedale Sant'Antonio,0,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",25,-1,10,0,8,200,105,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",13,-2,11,0,7,69,30,+1)
ULSS 1 - Ospedale Belluno,36,-4,6,0,2,69,43,+2)
ULSS 1 - Ospedale Feltre,0,0,0,0,0,12,6,0
ULSS 2 - Ospedale Treviso,27,+1),7,0,7,206,98,0
ULSS 2 - Ospedale Oderzo,8,0,0,0,2,19,20,0
ULSS 2 - Ospedale Conegliano,2,0,1,0,0,17,20,0
ULSS 2 - Ospedale Vittorio Veneto °,50,-3,2,-2,11,173,30,0
ULSS 2 - Ospedale Castelfranco,0,-1,0,0,0,40,8,0
ULSS 2 - Ospedale Montebelluna,7,-2,0,0,4,50,12,0
Ospedale S. Camillo-Treviso °,14,0,0,0,3,44,4,0
Ospedale Riabilitativo  Motta di Livenza - Treviso,8,0,0,0,8,0,0,0
