"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-ospedale)
-dato
cumulativo","Negativizzati
virologici -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 02.05
ore 20.00)"
Padova (escluso domiciliati Vo'),3779,0,790,248,2741,740,
Cluster domiciliati Comune di Vò,88,0,4,3,81,,
Treviso,2551,+10),960,268,1323,1204,
Venezia,2502,+13),652,220,1630,848,
Verona,4800,+26),2690,425,1685,1179,
Vicenza,2713,+6),1155,226,1332,1192,
Belluno,1129,+2),607,82,440,1094,
Rovigo,431,+1),245,31,155,573,
Domicilio fuori Veneto,288,+1),159,13,116,,
Assegnazione in corso,37,-1,37,0,0,,
Struttura di ricovero,"Pazienti  in AREA
NON CRITICA^","Δ area non
critica","Pazienti in
TERAPIA
INTENSIVA ^",Δ Ter Int,"Negativizzati
virologici
attualmente
ricoverati**","dimessi dal
21.2","decessi dal
21.2*",Δ decessi
Azienda Ospedale Università Padova,51,0,13,0,40,285,62,0
Ospedale Sant'Antonio,0,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",21,+3),7,-3,7,201,110,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",13,+1),10,-1,9,70,30,0
ULSS 1 - Ospedale Belluno,34,-1,6,+1),0,71,43,0
ULSS 1 - Ospedale Feltre,0,0,0,0,0,12,6,0
ULSS 2 - Ospedale Treviso,26,0,7,0,10,207,100,0
ULSS 2 - Ospedale Oderzo,6,0,0,0,3,19,21,0
ULSS 2 - Ospedale Conegliano,1,0,1,0,0,18,20,0
ULSS 2 - Ospedale Vittorio Veneto °,49,+2),0,-2,11,176,30,0
ULSS 2 - Ospedale Castelfranco,0,0,0,0,0,40,8,0
ULSS 2 - Ospedale Montebelluna,7,0,0,0,6,50,12,0
Ospedale S. Camillo-Treviso °,13,0,0,0,4,45,4,0
Ospedale Riabilitativo  Motta di Livenza - Treviso,8,0,0,0,8,0,0,0
ULSS 3 - Ospedale Mestre,11,-1,3,0,10,78,38,0
ULSS 3 - Ospedale Venezia,4,0,0,0,4,27,14,0
ULSS 3 - Ospedale Mirano,1,0,0,0,1,9,9,0
ULSS 3 - Ospedale Dolo °,87,+2),9,0,24,93,77,+1)
ULSS 3 - Ospedale Chioggia,0,-1,0,0,0,2,3,0
ULSS 3 - Ospedale di Noale,0,0,0,0,0,0,2,+1)
Ospedale Villa Salus (VE)°,36,0,0,0,7,85,8,0
ULSS 4 - Ospedale Jesolo °,28,0,4,0,16,74,25,0
ULSS 4- Ospedale San Donà,1,+1),0,0,1,0,0,0
Casa di Cura Rizzola,1,0,0,0,0,15,1,0
ULSS 5 - Ospedale Rovigo,1,0,0,0,1,23,5,0
ULSS 5 - Ospedale Trecenta °,35,0,4,0,14,17,24,0
ULSS 5 - Ospedale Adria,2,0,0,0,2,1,0,0
ULSS 6 - Ospedale Schiavonia °,70,-1,5,0,10,241,98,0
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,1,0,0,0,0,2,7,0
ULSS 6 - Ospedale Camposampiero,3,0,0,0,3,3,7,0
ULSS 6 - Ospedale Conselve,1,0,0,0,1,0,0,0
ULSS 7 - Ospedale Santorso °,108,-3,6,0,50,140,63,+3)
ULSS 7 - Ospedale Bassano,1,0,0,0,0,20,13,0
ULSS 7 - Ospedale Asiago,2,0,0,0,0,8,10,0
ULSS 8 - Ospedale Vicenza,38,+5),11,0,10,112,87,+2)
ULSS 8 - Ospedale Noventa Vicentina,18,0,0,0,8,39,2,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,0,0,0,0,0,26,5,0
ULSS 9 - Ospedale Legnago,28,0,4,0,13,61,47,0
ULSS 9 - Ospedale San Bonifacio,6,0,0,0,1,22,25,0
ULSS 9 - Ospedale Villafranca °,84,+3),8,0,8,142,88,0
ULSS 9 - Ospedale Marzana,58,0,0,0,30,29,3,0
ULSS 9 - Ospedale Bussolengo,23,0,0,0,10,32,3,0
ULSS 9 - Ospedale San Biagio di Bovolone,3,0,0,0,3,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,33,0,4,0,16,119,33,0
Ospedale P. Pederzoli-Peschiera,42,0,1,0,16,77,38,0
Istituto Oncologico Veneto,0,0,0,0,0,2,1,0
Struttura di ricovero,"Pazienti
presenti^",Δ paz. presenti,"Negativizzati
virologici
attualmente
ricoverati**",dimessi dal 21.2,"decessi dal
21.2*",Δ decessi,
Ospedale di Comunità Belluno (BL),18,0,2,21,11,0,
Ospedale di Comunità  Agordo (BL),26,0,5,13,1,0,
Ospedale di Comunità di Castelfranco  (TV),2,0,0,3,0,0,
Struttura COVID - Vedelago (TV),16,0,10,29,3,0,
Struttura COVID - Ormelle (TV),0,0,0,24,4,0,
Ospedale di Comunità Vittorio Veneto (TV),14,0,9,28,2,0,
Ospedale di Comunità Casa di Cura Rizzola (VE),1,0,1,9,1,0,
Ospedale di Cinto Caomaggiore (VE),3,0,2,0,0,0,
Ospedale di Comunità Villa Maria (PD),9,0,5,27,1,0,
Ospedale di Comunità Camposampiero (PD),11,-1,5,15,1,0,
Ospedale di Comunità Marostica (VI),17,0,3,9,3,0,
