"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-ospedale)
-dato
cumulativo","Negativizzati
virologici -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 16.04
ore 20.00)"
Padova (escluso domiciliati Vo'),3504,+36),2243,186,1075,2763,
Cluster domiciliati Comune di Vò,87,0,9,3,75,,
Treviso,2237,+2),1577,191,469,2819,
Venezia,2096,+35),1124,153,819,1988,
Verona,3805,+45),3017,279,509,1998,
Vicenza,2200,+14),1526,142,532,2281,
Belluno,807,+15),653,41,113,1103,
Rovigo,301,+2),213,21,67,537,
Domicilio fuori Veneto,266,+5),186,9,71,,
Assegnazione in corso,71,+1),70,1,0,,
Struttura di ricovero,"Pazienti  in AREA
NON CRITICA^","Δ area non
critica","Pazienti in
TERAPIA
INTENSIVA ^",Δ Ter Int,"Negativizzati
virologici
attualmente
ricoverati**","dimessi dal
21.2","decessi dal
21.2*",Δ decessi
Azienda Ospedale Università Padova,74,+1),17,0,29,237,53,0
Ospedale Sant'Antonio,0,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",49,+3),15,0,9,169,90,+2)
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",23,+1),25,0,12,43,22,0
ULSS 1 - Ospedale Belluno,40,0,8,0,1,55,24,0
ULSS 1 - Ospedale Feltre,0,0,0,0,0,12,6,0
ULSS 2 - Ospedale Treviso,39,0,12,0,4,185,88,0
ULSS 2 - Ospedale Oderzo,8,-1,7,0,0,16,13,+1)
ULSS 2 - Ospedale Conegliano,1,0,3,0,0,16,20,0
ULSS 2 - Ospedale Vittorio Veneto °,57,0,4,0,13,125,25,0
ULSS 2 - Ospedale Castelfranco,4,0,0,0,0,37,8,0
ULSS 2 - Ospedale Montebelluna,14,0,4,0,4,40,12,0
Ospedale S. Camillo-Treviso °,49,0,0,0,3,10,1,0
Ospedale Riabilitativo  Motta di Livenza - Treviso,4,0,0,0,3,0,0,0
ULSS 3 - Ospedale Mestre,29,+1),8,-1,21,60,33,0
ULSS 3 - Ospedale Venezia,8,0,6,0,7,19,11,0
ULSS 3 - Ospedale Mirano,1,+1),4,-1,2,9,6,0
ULSS 3 - Ospedale Dolo °,78,-3,8,0,25,60,50,+3)
ULSS 3 - Ospedale Chioggia,2,0,0,0,1,0,3,0
Ospedale Villa Salus-Mestre °,49,+1),0,0,15,55,4,0
ULSS 4 - Ospedale San Donà di Piave,1,0,0,0,1,0,0,0
ULSS 4 - Ospedale Jesolo °,33,-3,4,0,14,57,23,0
Casa di Cura Rizzola,10,0,0,0,4,7,1,0
ULSS 5 - Ospedale Rovigo,5,0,0,0,2,20,6,0
ULSS 5 - Ospedale Trecenta °,44,0,9,0,13,4,15,0
ULSS 5 - Ospedale Adria,1,0,0,0,1,1,0,0
ULSS 6 - Ospedale Schiavonia °,109,+1),7,0,3,183,71,0
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,2,-1,1,2,5,0
ULSS 6 - Ospedale Camposampiero,4,0,0,0,1,1,6,0
ULSS 7 - Ospedale Santorso °,139,0,8,0,36,84,38,0
ULSS 7 - Ospedale Bassano,0,0,2,0,0,20,12,0
ULSS 7 - Ospedale Asiago,1,0,0,0,0,7,10,0
ULSS 8 - Ospedale Vicenza,51,-3,16,0,6,80,58,+2)
ULSS 8 - Ospedale Noventa Vicentina,25,+2),0,0,2,26,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,19,0,0,0,1,8,3,0
ULSS 9 - Ospedale Legnago,58,0,7,0,4,35,37,0
ULSS 9 - Ospedale San Bonifacio,9,-2,0,0,0,20,18,0
ULSS 9 - Ospedale Villafranca °,108,+6),10,0,10,94,45,0
ULSS 9 - Ospedale Marzana,67,0,0,0,11,3,2,0
ULSS 9 - Ospedale Bussolengo,29,0,0,0,10,8,1,0
Ospedale Sacro Cuore Don Calabria-Negrar,65,-1,8,0,16,82,26,0
Ospedale P. Pederzoli-Peschiera,51,0,3,0,2,67,29,0
Istituto Oncologico Veneto,1,0,0,0,1,0,0,0
Struttura di ricovero,"Pazienti
presenti^",Δ paz. presenti,"Negativizzati
virologici
attualmente
ricoverati**",dimessi dal 21.2,"decessi dal
21.2*",Δ decessi,
Ospedale di Comunità Belluno (BL),13,0,0,14,6,0,
Ospedale di Comunità  Agordo (BL),14,0,3,4,1,0,
Ospedale di Comunità di Castelfranco  (TV),1,0,0,1,0,0,
Struttura COVID - Vedelago (TV),27,0,1,10,3,0,
Struttura COVID - Ormelle (TV),23,0,0,4,4,0,
Ospedale di Comunità Vittorio Veneto (TV),25,0,7,19,2,0,
Ospedale di Comunità SS. Giovanni e Paolo (VE),1,0,0,0,0,0,
Ospedale di Comunità Casa di Cura Rizzola (VE),10,0,2,3,0,0,
Ospedale di Cinto Caomaggiore (VE),1,0,1,0,0,0,
Ospedale di Comunità Villa Maria (PD),7,0,2,17,1,0,
Ospedale di Comunità Camposampiero (PD),9,0,4,11,0,0,
Ospedale di Comunità Marostica (VI),19,0,1,2,2,0,
