"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-
ospedale) -
dato
cumulativo","Negativizzati
virologici -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 07.05
ore 20.00)",
Padova (escluso domiciliati Vo'),3802,+1),560,251,2991,,528,
Cluster domiciliati Comune di Vò,88,0,1,3,84,,,
Treviso,2605,+17),924,276,1405,1003,,
Venezia,2578,+3),495,246,1837,696,,
Verona,4922,+5),2142,463,2317,966,,
Vicenza,2752,+4),980,264,1508,882,,
Belluno,1145,0,497,94,554,889,,
Rovigo,430,+1),200,31,199,539,,
Domicilio fuori Veneto,294,-2,147,13,134,,,
Assegnazione in corso,33,+2),33,0,0,,,
TOTALE REGIONE VENETO,18649,+31),5979,1641,11029,5503,,
Struttura di ricovero,"Pazienti
attualmente
positivi in AREA
NON CRITICA","Pazienti
attualmente
positivi in
TERAPIA
INTENSIVA","dimessi dal 21.2
^","decessi dal
21.2*^",,"Δ pazienti
attualmente
positivi  in area
non critica","Δ  pazienti
attualmente
positivi in Ter Int",Δ decessi
Azienda Ospedale Università Padova,9,2,299,64,,0,0,0
Ospedale Sant'Antonio,0,0,0,1,0,0,0,
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",8,0,209,113,0,0,-1,
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",9,6,73,32,0,0,0,
ULSS 1 - Ospedale Belluno,13,4,85,48,-8,0,0,
ULSS 1 - Ospedale Feltre,0,0,12,6,0,0,0,
ULSS 2 - Ospedale Treviso,10,4,215,104,-4,0,+2),
ULSS 2 - Ospedale Oderzo,1,0,21,21,-1,0,0,
ULSS 2 - Ospedale Conegliano,0,1,18,20,0,0,0,
ULSS 2 - Ospedale Vittorio Veneto °,26,0,189,32,-2,0,0,
ULSS 2 - Ospedale Castelfranco,0,0,40,8,0,0,0,
ULSS 2 - Ospedale Montebelluna,0,0,51,12,0,0,0,
Ospedale S. Camillo-Treviso °,0,0,53,4,0,0,0,
Ospedale Riabilitativo  Motta di Livenza - Treviso,0,0,0,0,0,0,0,
Casa di Cura Giovanni XXIII Monastier -TV,0,0,0,0,0,0,0,
ULSS 3 - Ospedale Mestre,1,0,76,39,+1),0,0,
