"",,,,,,,,
"Raggruppamenti sulla base del domicilio delsoggetto positivo SARS-CoV-2","TOTALE CASIcon tamponepositivo -datocumulativo","Δ Totale casipositivi","Casiattualmentepositivi","Deceduti (inospedale +extra-ospedale) -datocumulativo","Negativizzativirologici -datocumulativo",,"Soggetti inISOLAMENTODOMICILIARE(dato del 1.06ore 20.00)",
Padova (escluso domiciliati Vo'),3845,0,68,284,3493,,156,
Cluster domiciliati Comune di Vò,88,0,2,3,83,,,
Treviso,2659,+1),277,313,2069,214,,
Venezia,2665,0,137,286,2242,195,,
Verona,5100,0,436,556,4108,341,,
Vicenza,2849,0,219,321,2309,144,,
Belluno,1172,+1),95,110,967,174,,
Rovigo,442,0,15,34,393,87,,
Domicilio fuori Veneto,316,0,120,14,182,,,
Assegnazione in corso,28,0,27,0,1,,,
Struttura di ricovero,"Pazientiattualmentepositivi in AREANON CRITICA","Pazientiattualmentepositivi inTERAPIAINTENSIVA","dimessi dal 21.2^","decessi dal21.2*^",,"Δ pazientiattualmentepositivi  in areanon critica","Δ  pazientiattualmentepositivi in Ter Int",Δ decessi
Azienda Ospedale Università Padova,3,0,315,68,,0,0,0
Ospedale Sant'Antonio,0,0,0,1,0,0,0,
"Azienda Ospedaliera Universitaria Integrata diVerona - Borgo Roma",1,0,216,114,0,0,0,
"Azienda Ospedaliera Universitaria Integrata diVerona - Borgo Trento",1,1,85,34,0,0,0,
ULSS 1 - Ospedale Belluno,4,0,98,53,0,0,0,
ULSS 1 - Ospedale Feltre,0,0,12,6,0,0,0,
ULSS 1 - Ospedale Agordo,0,0,1,0,0,0,0,
ULSS 2 - Ospedale Treviso,0,0,223,109,0,0,0,
ULSS 2 - Ospedale Oderzo,0,0,20,21,0,0,0,
ULSS 2 - Ospedale Conegliano,0,0,18,21,0,0,0,
ULSS 2 - Ospedale Vittorio Veneto °,4,0,211,39,0,0,0,
ULSS 2 - Ospedale Castelfranco,0,0,40,8,0,0,0,
ULSS 2 - Ospedale Montebelluna,0,0,53,12,0,0,0,
Ospedale S. Camillo-Treviso °,0,0,52,4,0,0,0,
Ospedale Riabilitativo  Motta di Livenza - Treviso,0,0,2,0,0,0,0,
Casa di Cura Giovanni XXIII Monastier -TV,0,0,1,0,0,0,0,
ULSS 3 - Ospedale Mestre,0,0,77,41,0,0,0,
ULSS 3 - Ospedale Venezia,0,0,29,15,0,0,0,
ULSS 3 - Ospedale Mirano,0,0,8,10,0,0,0,
ULSS 3 - Ospedale Dolo °,8,0,140,113,0,0,0,
ULSS 3 - Ospedale Chioggia,0,0,3,3,0,0,0,
ULSS 3 - Ospedale di Noale,0,0,0,4,0,0,0,
Ospedale Villa Salus (VE)°,23,0,118,14,0,0,0,
Casa di cura San Marco - Mestre (VE),0,0,0,0,0,0,0,
ULSS 4 - Ospedale Jesolo °,1,0,104,30,0,0,0,
ULSS 4 - Ospedale Portogruaro,0,0,0,1,0,0,0,
Casa di Cura Rizzola,0,0,15,1,0,0,0,
ULSS 5 - Ospedale Rovigo,0,0,28,5,0,0,0,
ULSS 5 - Ospedale Trecenta °,0,0,46,26,0,0,0,
ULSS 5 - Ospedale Adria,0,0,5,0,0,0,0,
ULSS 6 - Ospedale Schiavonia °,7,1,274,109,+1),0,0,
ULSS 6 - Ospedale Piove di Sacco,0,0,2,0,0,0,0,
ULSS 6 - Ospedale Cittadella,1,0,2,7,0,0,0,
ULSS 6 - Ospedale Camposampiero,1,0,3,7,0,0,0,
ULSS 6 - Ospedale Conselve,0,0,0,0,0,0,0,
Casa di cura Villa Maria (PD),0,0,1,0,0,0,0,
ULSS 7 - Ospedale Santorso °,5,0,260,90,0,0,0,
ULSS 7 - Ospedale Bassano,0,0,21,13,0,0,0,
ULSS 7 - Ospedale Asiago,0,0,8,11,0,0,0,
ULSS 8 - Ospedale Vicenza,14,0,149,103,0,0,0,
ULSS 8 - Ospedale Noventa Vicentina,0,0,58,2,0,0,0,
ULSS 8 - Ospedale Arzignano,0,0,0,1,0,0,0,
ULSS 8 - Ospedale Valdagno,0,0,23,5,0,0,0,
ULSS 9 - Ospedale Legnago,1,1,72,50,0,0,0,
ULSS 9 - Ospedale San Bonifacio,1,0,34,26,0,0,0,
ULSS 9 - Ospedale Villafranca °,15,2,194,113,+1),0,0,
ULSS 9 - Ospedale Marzana,2,0,55,8,0,0,0,
ULSS 9 - Ospedale Bussolengo,7,0,64,5,0,0,0,
ULSS 9 - Ospedale San Biagio di Bovolone,0,0,2,0,0,0,0,
ULSS 9 - Ospedale Malcesine,0,0,0,0,0,0,0,
Ospedale Sacro Cuore Don Calabria-Negrar,2,0,144,37,0,0,0,
Ospedale P. Pederzoli-Peschiera,4,0,99,38,0,0,0,
Istituto Oncologico Veneto,0,0,2,1,0,0,0,
Struttura di ricovero,"Pazientiattualmentepositivi",dimessi dal 21.2^,"decessi dal 21.2*^",,"Δ paz.attualmentepositivi",Δ decessi
Ospedale di Comunità Belluno (BL),0,35,17,,0,0
Ospedale di Comunità  Agordo (BL),0,32,1,0,0,
Ospedale di Comunità- Auronzo (BL),0,0,0,0,0,
Ospedale di Comunità Alano di Piave (BL),0,0,0,0,0,
Ospedale di Comunità di Castelfranco  (TV),0,5,0,0,0,
Struttura COVID - Vedelago (TV),0,54,4,0,0,
Struttura COVID - Ormelle (TV),0,24,4,0,0,
Ospedale di Comunità Vittorio Veneto (TV),3,46,2,0,0,
Ospedale di Comunità SS. Giovanni e Paolo (VE),0,0,0,0,0,
Ospedale di Comunità Casa di Cura Rizzola (VE),0,11,1,0,0,
Ospedale di Cinto Caomaggiore (VE),1,0,0,0,0,
Ospedale di Comunità Civitas vitae (PD),0,0,0,0,0,
Ospedale di Comunità Villa Maria (PD),0,40,1,0,0,
Ospedale di Comunità Conselve (PD),0,0,0,0,0,
Ospedale di Comunità Camposampiero (PD),2,23,1,0,0,
Ospedale di Comunità Montagnana (PD),0,0,0,0,0,
Ospedale di Comunità Marostica (VI),4,20,7,0,0,
Ospedale di Comunità Valeggio sul Mincio (VR),0,0,0,0,0,
Ospedale di comunità Tregnago (VR),0,0,0,0,0,
