"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-ospedale)
-dato
cumulativo","Negativizzati
virologici -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 28.04
ore 20.00)"
Padova (escluso domiciliati Vo'),3748,0,1098,236,2414,946,
Cluster domiciliati Comune di Vò,88,0,5,3,80,,
Treviso,2487,+4),1107,255,1125,1360,
Venezia,2425,+7),791,208,1426,829,
Verona,4627,+71),2863,411,1353,1298,
Vicenza,2616,+20),1365,211,1040,1393,
Belluno,1084,+23),664,72,348,1248,
Rovigo,426,+2),272,30,124,587,
Domicilio fuori Veneto,286,+2),166,11,109,,
Assegnazione in corso,38,-12,38,0,0,,
Struttura di ricovero,"Pazienti  in AREA
NON CRITICA^","Δ area non
critica","Pazienti in
TERAPIA
INTENSIVA ^",Δ Ter Int,"Negativizzati
virologici
attualmente
ricoverati**","dimessi dal
21.2","decessi dal
21.2*",Δ decessi
Azienda Ospedale Università Padova,54,-2,12,0,34,283,59,+1)
Ospedale Sant'Antonio,0,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",28,-1,10,0,9,196,104,-1°°
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",14,0,11,0,5,68,29,+1)
ULSS 1 - Ospedale Belluno,42,+2),6,0,3,67,39,0
ULSS 1 - Ospedale Feltre,0,0,0,0,0,12,6,0
ULSS 2 - Ospedale Treviso,24,+2),7,0,4,206,98,0
ULSS 2 - Ospedale Oderzo,10,+4),0,-3,3,19,18,0
ULSS 2 - Ospedale Conegliano,3,-1,1,+1),0,16,20,0
ULSS 2 - Ospedale Vittorio Veneto °,58,+2),6,0,20,165,29,+1)
ULSS 2 - Ospedale Castelfranco,1,-2,0,0,0,39,8,0
ULSS 2 - Ospedale Montebelluna,13,0,0,0,4,47,12,0
Ospedale S. Camillo-Treviso °,16,-2,0,0,4,42,4,0
Ospedale Riabilitativo  Motta di Livenza - Treviso,8,0,0,0,8,0,0,0
ULSS 3 - Ospedale Mestre,14,-2,3,0,11,75,38,0
ULSS 3 - Ospedale Venezia,6,0,0,0,6,25,14,0
ULSS 3 - Ospedale Mirano,2,+2),0,-1,1,9,9,0
ULSS 3 - Ospedale Dolo °,71,-7,9,+3),25,87,69,+2)
ULSS 3 - Ospedale Chioggia,1,0,0,0,1,1,3,0
Ospedale Villa Salus-Mestre °,37,-12,0,0,10,81,8,+3)
ULSS 4 - Ospedale Jesolo °,29,-2,4,0,13,72,25,+1)
Casa di Cura Rizzola,4,0,0,0,1,14,1,0
ULSS 5 - Ospedale Rovigo,1,0,0,0,1,22,5,0
ULSS 5 - Ospedale Trecenta °,35,-1,4,0,11,15,24,+1)
ULSS 5 - Ospedale Adria,2,0,0,0,2,1,0,0
ULSS 6 - Ospedale Schiavonia °,83,-2,5,-1,9,229,92,0
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,1,0,0,0,0,2,7,0
ULSS 6 - Ospedale Camposampiero,4,0,0,0,4,2,7,0
ULSS 6 - Ospedale Conselve,1,0,0,0,1,0,0,0
ULSS 7 - Ospedale Santorso °,111,+6),8,-1,40,135,56,+1)
ULSS 7 - Ospedale Bassano,1,+1),0,0,0,20,13,0
ULSS 7 - Ospedale Asiago,1,-1,0,0,1,8,10,0
ULSS 8 - Ospedale Vicenza,44,-6,11,0,13,94,80,+5)
ULSS 8 - Ospedale Noventa Vicentina,20,+3),0,0,5,36,1,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,8,0,0,0,4,21,5,0
ULSS 9 - Ospedale Legnago,31,+1),5,-1,14,57,46,0
ULSS 9 - Ospedale San Bonifacio,3,+1),0,0,0,21,24,0
ULSS 9 - Ospedale Villafranca °,81,-2,7,-1,11,133,81,+4)
ULSS 9 - Ospedale Marzana,69,0,0,0,40,18,3,0
ULSS 9 - Ospedale Bussolengo,24,-1,0,0,11,29,3,0
ULSS 9 - Ospedale San Biagio di Bovolone,3,0,0,0,3,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,39,-1,4,-2,11,113,33,+2)
Ospedale P. Pederzoli-Peschiera,45,-1,1,0,8,76,38,0
Istituto Oncologico Veneto,0,-3,0,0,0,2,1,+1)
TOTALE REGIONE VENETO,1042,-25,114,-6,351,2559,1124,22,
Struttura di ricovero,"Pazienti
presenti^",Δ paz. presenti,"Negativizzati
virologici
attualmente
ricoverati**",dimessi dal 21.2,"decessi dal
21.2*",Δ decessi,
Ospedale di Comunità Belluno (BL),19,0,0,18,10,0,
Ospedale di Comunità  Agordo (BL),28,-1,4,11,1,0,
Ospedale di Comunità di Castelfranco  (TV),2,+1),0,3,0,0,
Struttura COVID - Vedelago (TV),13,-5,6,28,3,0,
Struttura COVID - Ormelle (TV),4,-2,1,22,4,0,
Ospedale di Comunità Vittorio Veneto (TV),4,0,2,28,2,0,
Ospedale di Comunità Casa di Cura Rizzola (VE),5,-1,3,5,1,0,
Ospedale di Cinto Caomaggiore (VE),2,0,2,0,0,0,
Ospedale di Comunità Villa Maria (PD),9,0,4,25,1,0,
Ospedale di Comunità Camposampiero (PD),12,0,7,12,1,+1),
Ospedale di Comunità Marostica (VI),16,-1,1,8,3,+1),
