CASI SARS-CoV-2 POSITIVI,,,,,,,,
"Raggruppamenti sulla base del domicilio delsoggetto positivo SARS-CoV-2","TOTALE CASIcon tamponepositivo -datocumulativo","Δ Totale casipositivi","Casiattualmentepositivi","Deceduti (inospedale +extra-ospedale) -datocumulativo","Negativizzativirologici -datocumulativo",,"Soggetti inISOLAMENTODOMICILIARE(dato del 25.05ore 20.00)",
ULSS 3 - Ospedale di Noale,0,0,0,4,0,0,0,
Ospedale Villa Salus (VE)°,25,0,108,14,0,0,0,
Casa di cura San Marco - Mestre (VE),0,0,0,0,0,0,0,
ULSS 4 - Ospedale Jesolo °,3,0,100,30,-1,0,0,
ULSS 4 - Ospedale Portogruaro,0,0,0,1,0,0,0,
Casa di Cura Rizzola,0,0,15,1,0,0,0,
ULSS 5 - Ospedale Rovigo,0,0,28,5,0,0,0,
ULSS 5 - Ospedale Trecenta °,4,0,40,26,0,0,0,
ULSS 5 - Ospedale Adria,0,0,5,0,0,0,0,
ULSS 6 - Ospedale Schiavonia °,14,1,271,104,+1),0,0,
ULSS 6 - Ospedale Piove di Sacco,0,0,2,0,0,0,0,
ULSS 6 - Ospedale Cittadella,0,0,2,7,0,0,0,
ULSS 6 - Ospedale Camposampiero,1,0,3,7,0,0,0,
ULSS 6 - Ospedale Conselve,0,0,0,0,0,0,0,
Casa di cura Villa Maria (PD),0,0,1,0,0,0,0,
ULSS 7 - Ospedale Santorso °,10,0,252,90,-2,0,+2),
ULSS 7 - Ospedale Bassano,0,0,21,13,0,0,0,
ULSS 7 - Ospedale Asiago,0,0,8,11,0,0,0,
ULSS 8 - Ospedale Vicenza,21,1,141,102,0,0,0,
ULSS 8 - Ospedale Noventa Vicentina,0,0,58,2,0,0,0,
ULSS 8 - Ospedale Arzignano,0,0,0,1,0,0,0,
ULSS 8 - Ospedale Valdagno,0,0,23,5,0,0,0,
ULSS 9 - Ospedale Legnago,0,1,73,50,0,0,0,
ULSS 9 - Ospedale San Bonifacio,2,0,32,26,0,0,0,
ULSS 9 - Ospedale Villafranca °,21,2,189,112,-1,0,0,
ULSS 9 - Ospedale Marzana,3,0,55,8,0,0,0,
ULSS 9 - Ospedale Bussolengo,13,0,58,4,+1),0,0,
ULSS 9 - Ospedale San Biagio di Bovolone,0,0,2,0,0,0,0,
Ospedale Sacro Cuore Don Calabria-Negrar,6,0,141,36,0,0,0,
Ospedale P. Pederzoli-Peschiera,5,0,99,38,0,0,0,
Istituto Oncologico Veneto,0,0,2,1,0,0,0,
"",,,,,,
Struttura di ricovero,"Pazientiattualmentepositivi",dimessi dal 21.2^,"decessi dal 21.2*^",,"Δ paz.attualmentepositivi",Δ decessi
Ospedale di Comunità Belluno (BL),0,35,17,,0,0
Ospedale di Comunità  Agordo (BL),3,29,1,0,0,
Ospedale di Comunità- Auronzo (BL),0,0,0,0,0,
Ospedale di Comunità Alano di Piave (BL),0,0,0,0,0,
Ospedale di Comunità di Castelfranco  (TV),0,5,0,0,0,
Struttura COVID - Vedelago (TV),1,47,4,0,0,
Struttura COVID - Ormelle (TV),0,24,4,0,0,
Ospedale di Comunità Vittorio Veneto (TV),8,42,2,-1,0,
Ospedale di Comunità SS. Giovanni e Paolo (VE),0,0,0,0,0,
Ospedale di Comunità Casa di Cura Rizzola (VE),0,11,1,0,0,
Ospedale di Cinto Caomaggiore (VE),1,0,0,0,0,
Ospedale di Comunità Villa Maria (PD),0,40,1,0,0,
Ospedale di Comunità Conselve (PD),0,0,0,0,0,
Ospedale di Comunità Camposampiero (PD),2,22,1,-1,0,
Ospedale di Comunità Montagnana (PD),0,0,0,0,0,
Ospedale di Comunità Marostica (VI),6,19,6,0,0,
Ospedale di Comunità Valeggio sul Mincio,0,0,0,0,0,
