"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-
ospedale) -
dato
cumulativo","Negativizzati
virologici^ -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 06.04
ore 20.00)"
Padova (escluso domiciliati Vo'),2915,+37),2575,126,214,,4789
Cluster domiciliati Comune di Vò,87,0,17,3,67,,
Treviso,1768,+30),1412,142,214,3912,
Venezia,1557,+14),1288,107,162,3419,
Verona,2866,+10),2539,210,117,2521,
Vicenza,1737,+3),1454,91,192,2398,
Belluno,580,+3),518,28,34,1246,
Rovigo,225,+7),188,8,29,581,
Domicilio fuori Veneto,203,-2,172,6,25,,
Assegnazione in corso,83,-6,82,1,0,,
TOTALE REGIONE VENETO,12021,+96),10245,722,1054,18866,,
Struttura di ricovero,"Pazienti  in AREA
NON CRITICA","Δ area non
critica","Pazienti in
TERAPIA
INTENSIVA",Δ Ter Int,"dimessi dal
21.2","decessi dal
21.2*",Δ decessi
Azienda Ospedale Università Padova,116,-2,22,-1,169,37,+2)
Ospedale Sant'Antonio,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",69,0,22,0,129,73,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",38,+2),25,0,26,16,0
ULSS 1 - Ospedale Belluno,39,-1,9,0,36,19,+1)
ULSS 1 - Ospedale Feltre,7,-1,0,0,10,5,0
ULSS 2 - Ospedale Treviso,80,+2),19,-3,144,72,+3)
ULSS 2 - Ospedale Oderzo,11,0,6,0,11,9,0
ULSS 2 - Ospedale Conegliano,3,-2,7,+1),15,17,+1)
ULSS 2 - Ospedale Vittorio Veneto °,92,-20,6,0,85,15,+2)
ULSS 2 - Ospedale Castelfranco,24,+1),0,0,24,7,0
ULSS 2 - Ospedale Montebelluna,23,+5),6,-3,29,9,0
Ospedale S. Camillo-Treviso °,43,0,0,0,9,1,0
ULSS 3 - Ospedale Mestre,32,-1,15,+1),43,28,+1)
ULSS 3 - Ospedale Venezia,10,0,6,0,13,10,+1)
ULSS 3 - Ospedale Mirano,1,-1,8,0,7,6,0
ULSS 3 - Ospedale Dolo °,85,-5,11,0,40,31,+1)
ULSS 3 - Ospedale Chioggia,1,+1),0,0,0,3,0
Ospedale Villa Salus-Mestre °,49,+4),0,0,26,3,0
ULSS 4 - Ospedale Jesolo °,44,-1,12,+1),35,19,0
Casa di Cura Rizzola,10,0,0,0,4,1,0
ULSS 5 - Ospedale Rovigo,12,+4),0,0,16,4,+1)
ULSS 5 - Ospedale Trecenta °,30,+1),11,-1,1,4,+1)
ULSS 5 - Ospedale Adria,1,0,0,0,0,0,0
ULSS 6 - Ospedale Schiavonia °,113,-3,20,-1,132,51,+2)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,4,-1,2,3,+1)
ULSS 6 - Ospedale Camposampiero,8,+3),0,0,0,5,0
ULSS 7 - Ospedale Santorso °,117,+4),14,-1,43,22,+1)
ULSS 7 - Ospedale Bassano,7,-1,5,0,15,11,0
ULSS 7 - Ospedale Asiago,2,-2,0,0,7,10,0
ULSS 8 - Ospedale Vicenza,70,0,20,0,54,45,0
ULSS 8 - Ospedale Noventa Vicentina,21,0,0,0,15,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,17,-1,0,0,3,3,0
ULSS 9 - Ospedale Legnago,64,+1),7,0,14,33,0
ULSS 9 - Ospedale San Bonifacio,29,0,6,0,7,9,0
ULSS 9 - Ospedale Villafranca °,114,-2,12,-1,60,28,+2)
ULSS 9 - Ospedale Marzana,50,+4),0,0,1,1,0
ULSS 9 - Ospedale Bussolengo,6,+1),0,0,0,0,0
ULSS 9 - Ospedale Malcesine,1,0,0,0,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,82,-4,7,+1),48,23,0
Ospedale P. Pederzoli-Peschiera,37,-7,9,0,42,21,+2)
Struttura di ricovero,Pazienti presenti,Δ paz. presenti,dimessi dal 21.2,"decessi dal 21.2
*",Δ decessi
Ospedale di Comunità Belluno (BL),13,-1,5,3,0
Ospedale di Comunità  Agordo (BL),13,0,0,1,0
Centro Servizi Civitas Vitae - Vedelago (TV),31,-1,3,1,0
Centro Servizi Casa Luigi e Augusta - Ormelle (TV),23,0,0,1,0
Ospedale di Comunità Vittorio Veneto,31,+6),5,2,0
Ospedale di Comunità Casa di Cura Rizzola (VE),7,-1,3,0,0
Ospedale di Comunità Villa Maria (PD),13,-1,9,1,0
Ospedale di Comunità Camposampiero (PD),6,-1,9,0,0
Ospedale di Comunità Marostica (VI),11,+2),0,0,0
TOTALE REGIONE VENETO,148,+3),34,9,0,
