"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-
ospedale) -
dato
cumulativo","Negativizzati
virologici -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 17.06
ore 20.00)"
Padova (escluso domiciliati Vo'),3856,0,50,298,3508,,122
Cluster domiciliati Comune di Vò,88,0,0,4,84,,
Treviso,2666,0,132,324,2210,221,
Venezia,2680,+1),76,298,2306,105,
Verona,5118,0,88,571,4459,246,
Vicenza,2856,0,67,340,2449,50,
Belluno,1183,0,38,112,1033,46,
Rovigo,443,0,9,35,399,57,
Domicilio fuori Veneto,317,0,115,15,187,,
Assegnazione in corso,26,-1,25,0,1,,,
Struttura di ricovero,"Pazienti
attualmente
positivi in AREA
NON CRITICA","Pazienti
attualmente
positivi in
TERAPIA
INTENSIVA","dimessi dal 21.2
^","decessi dal
21.2*^",,"Δ pazienti
attualmente
positivi  in area
non critica","Δ  pazienti
attualmente
positivi in Ter Int",Δ decessi
Azienda Ospedale Università Padova,2,0,319,70,0,0,0
Ospedale Sant'Antonio,0,0,0,1,0,0,0,
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",1,0,220,114,0,0,0,
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",0,1,90,34,0,0,0,
ULSS 1 - Ospedale Belluno,1,0,111,53,+1),0,0,
ULSS 1 - Ospedale Feltre,0,0,12,6,0,0,0,
ULSS 1 - Ospedale Agordo,0,0,1,0,0,0,0,
ULSS 2 - Ospedale Treviso,2,0,227,112,-2,0,0,
ULSS 2 - Ospedale Oderzo,0,0,20,22,0,0,0,
ULSS 2 - Ospedale Conegliano,0,0,18,21,0,0,0,
ULSS 2 - Ospedale Vittorio Veneto °,0,0,219,40,-1,0,0,
ULSS 2 - Ospedale Castelfranco,0,0,40,8,0,0,0,
ULSS 2 - Ospedale Montebelluna,0,0,55,12,0,0,0,
Ospedale S. Camillo-Treviso °,0,0,54,4,0,0,0,
Ospedale Riabilitativo  Motta di Livenza - Treviso,0,0,10,0,0,0,0,
Casa di Cura Giovanni XXIII Monastier -TV,0,0,1,0,0,0,0,
ULSS 3 - Ospedale Mestre,1,0,77,43,+1),0,0,
ULSS 3 - Ospedale Venezia,0,0,29,15,0,0,0,
ULSS 3 - Ospedale Mirano,0,0,8,10,0,0,0,
ULSS 3 - Ospedale Dolo °,3,0,152,117,-1,0,0,
ULSS 3 - Ospedale Chioggia,0,0,4,3,0,0,0,
ULSS 3 - Ospedale di Noale,0,0,0,4,0,0,0,
Ospedale Villa Salus (VE)°,2,0,133,15,0,0,0,
Casa di cura San Marco - Mestre (VE),0,0,0,0,0,0,0,
ULSS 4 - Ospedale Jesolo °,0,0,108,30,0,0,0,
ULSS 4 - Ospedale Portogruaro,0,0,0,1,0,0,0,
Casa di Cura Rizzola,0,0,14,1,0,0,0,
ULSS 5 - Ospedale Rovigo,0,0,29,6,0,0,0,
ULSS 5 - Ospedale Trecenta °,0,0,49,26,0,0,0,
ULSS 5 - Ospedale Adria,0,0,5,0,0,0,0,
ULSS 6 - Ospedale Schiavonia °,0,0,281,112,0,0,0,
ULSS 6 - Ospedale Piove di Sacco,0,0,2,0,0,0,0,
ULSS 6 - Ospedale Cittadella,0,0,2,9,0,0,0,
ULSS 6 - Ospedale Camposampiero,0,0,4,10,0,0,0,
ULSS 6 - Ospedale Conselve,0,0,0,0,0,0,0,
Casa di cura Villa Maria (PD),0,0,2,0,0,0,0,
ULSS 7 - Ospedale Santorso °,1,0,261,93,+1),0,0,
ULSS 7 - Ospedale Bassano,0,0,21,13,0,0,0,
ULSS 7 - Ospedale Asiago,0,0,10,12,0,0,0,
ULSS 8 - Ospedale Vicenza,8,0,167,104,+1),0,0,
ULSS 8 - Ospedale Noventa Vicentina,0,0,58,2,0,0,0,
ULSS 8 - Ospedale Arzignano,0,0,0,1,0,0,0,
ULSS 8 - Ospedale Valdagno,0,0,23,5,0,0,0,
ULSS 9 - Ospedale Legnago,0,0,78,51,0,0,0,
ULSS 9 - Ospedale San Bonifacio,0,0,34,26,0,0,0,
ULSS 9 - Ospedale Villafranca °,3,0,193,119,0,0,0,
ULSS 9 - Ospedale Marzana,0,0,54,8,0,0,0,
ULSS 9 - Ospedale Bussolengo,8,0,68,8,0,0,0,
ULSS 9 - Ospedale San Biagio di Bovolone,0,0,10,0,0,0,0,
ULSS 9 - Ospedale Malcesine,0,0,0,0,0,0,0,
Ospedale Sacro Cuore Don Calabria-Negrar,0,0,145,39,0,0,0,
Ospedale P. Pederzoli-Peschiera,0,0,106,41,0,0,0,
Casa di cura Villa Garda (VR),0,0,0,0,0,0,0,
Istituto Oncologico Veneto,1,0,2,1,0,0,0,
,,,,,,,
Struttura di ricovero,"Pazienti
attualmente
positivi",dimessi dal 21.2^,"decessi dal 21.2
*^",,"Δ paz.
attualmente
positivi",Δ decessi,
Ospedale di Comunità Belluno (BL),0,35,17,,0,0,
Ospedale di Comunità  Agordo (BL),0,33,1,0,0,,
Ospedale di Comunità- Auronzo (BL),0,0,0,0,0,,
Ospedale di Comunità Alano di Piave (BL),0,0,0,0,0,,
Ospedale di Comunità di Castelfranco  (TV),0,5,0,0,0,,
Struttura COVID - Vedelago (TV),0,54,4,0,0,,
Struttura COVID - Ormelle (TV),0,24,4,0,0,,
Ospedale di Comunità Vittorio Veneto (TV),0,55,2,0,0,,
Ospedale di Comunità SS. Giovanni e Paolo (VE),0,1,0,0,0,,
Ospedale di Comunità Casa di Cura Rizzola (VE),0,11,1,0,0,,
Ospedale di Cinto Caomaggiore (VE),0,0,0,0,0,,
Ospedale di Comunità Civitas vitae (PD),0,0,1,0,0,,
Ospedale di Comunità Villa Maria (PD),0,40,1,0,0,,
Ospedale di Comunità Conselve (PD),0,0,0,0,0,,
Ospedale di Comunità Camposampiero (PD),0,27,2,0,0,,
"Ospedale di Comunità Moretti Bonora
Camposampiero (PD)",0,0,0,0,0,,
Ospedale di Comunità Montagnana (PD),1,0,0,0,0,,
Ospedale di Comunità Marostica (VI),5,21,8,0,0,,
Ospedale di Comunità Valeggio sul Mincio (VR),0,0,0,0,0,,
Ospedale di comunità Tregnago (VR),0,0,0,0,0,,
