"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-ospedale)
-dato
cumulativo","Negativizzati
virologici -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 20.04
ore 20.00)"
Padova (escluso domiciliati Vo'),3634,+28),1889,205,1540,1458,
Cluster domiciliati Comune di Vò,87,0,7,3,77,,
Treviso,2351,+26),1378,213,760,2145,
Venezia,2191,+14),1012,170,1009,1929,
Verona,4070,+72),3010,318,742,1563,
Vicenza,2390,+11),1549,158,683,2204,
Belluno,967,+63),718,52,197,1184,
Rovigo,369,+62),266,24,79,576,
Domicilio fuori Veneto,284,+6),188,10,86,,
Assegnazione in corso,61,-5,60,1,0,,
Struttura di ricovero,"Pazienti  in AREA
NON CRITICA^","Δ area non
critica","Pazienti in
TERAPIA
INTENSIVA ^",Δ Ter Int,"Negativizzati
virologici
attualmente
ricoverati**","dimessi dal
21.2","decessi dal
21.2*",Δ decessi
Azienda Ospedale Università Padova,67,+1),12,-1,36,256,56,0
Ospedale Sant'Antonio,0,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",42,-5,15,0,10,182,96,+1)
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",13,-1,25,0,12,52,25,0
ULSS 1 - Ospedale Belluno,43,+4),7,0,0,63,30,0
ULSS 1 - Ospedale Feltre,0,0,0,0,0,12,6,0
ULSS 2 - Ospedale Treviso,37,-1,10,-1,7,191,94,+2)
ULSS 2 - Ospedale Oderzo,5,0,7,0,2,16,16,0
ULSS 2 - Ospedale Conegliano,2,0,1,0,0,16,20,0
ULSS 2 - Ospedale Vittorio Veneto °,45,-2,4,0,12,140,26,0
ULSS 2 - Ospedale Castelfranco,1,-2,0,0,0,38,8,0
ULSS 2 - Ospedale Montebelluna,14,+3),2,0,7,43,12,0
Ospedale S. Camillo-Treviso °,49,0,0,0,5,10,1,0
Ospedale Riabilitativo  Motta di Livenza - Treviso,3,0,0,0,3,0,0,0
ULSS 3 - Ospedale Mestre,23,-2,8,0,24,63,33,0
ULSS 3 - Ospedale Venezia,10,0,4,0,8,20,11,0
ULSS 3 - Ospedale Mirano,1,+1),0,-2,1,9,8,+1)
ULSS 3 - Ospedale Dolo °,71,-6,6,0,24,75,55,+2)
ULSS 3 - Ospedale Chioggia,1,0,0,0,0,1,3,0
Ospedale Villa Salus-Mestre °,46,-2,0,0,10,66,5,+1)
Casa di cura Policlinico San Marco Mestre,1,+1),0,0,1,0,0,0
ULSS 4 - Ospedale San Donà di Piave,1,0,0,0,1,0,0,0
ULSS 4 - Ospedale Jesolo °,29,-4,5,+1),13,62,23,0
Casa di Cura Rizzola,5,-5,0,0,3,12,1,0
ULSS 5 - Ospedale Rovigo,1,-1,0,0,1,22,5,0
ULSS 5 - Ospedale Trecenta °,46,-1,7,-1,13,4,19,+3)
ULSS 5 - Ospedale Adria,2,0,0,0,2,1,0,0
ULSS 6 - Ospedale Schiavonia °,109,-4,5,-1,3,195,79,+3)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,2,0,0,2,7,0
ULSS 6 - Ospedale Camposampiero,5,0,0,0,1,1,6,0
ULSS 6 - Ospedale Conselve,1,0,0,0,1,0,0,0
ULSS 7 - Ospedale Santorso °,129,0,8,0,41,101,46,+4)
ULSS 7 - Ospedale Bassano,0,0,2,0,0,20,12,0
ULSS 7 - Ospedale Asiago,1,0,0,0,0,7,10,0
ULSS 8 - Ospedale Vicenza,40,-6,16,0,6,91,64,+3)
ULSS 8 - Ospedale Noventa Vicentina,22,+1),0,0,2,29,1,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,15,+1),0,0,2,13,4,0
ULSS 9 - Ospedale Legnago,48,-2,5,0,4,44,42,+1)
ULSS 9 - Ospedale San Bonifacio,6,-1,0,0,0,20,21,+1)
ULSS 9 - Ospedale Villafranca °,96,-9,16,+2),16,110,59,+8)
ULSS 9 - Ospedale Marzana,62,-4,0,0,14,9,3,0
ULSS 9 - Ospedale Bussolengo,26,+4),0,0,10,15,1,0
ULSS 9 - Ospedale Bovolone,1,0,0,0,1,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,61,+2),8,0,15,92,29,0
Ospedale P. Pederzoli-Peschiera,48,-4,2,0,1,71,33,+3)
Istituto Oncologico Veneto,2,+1),0,0,2,0,0,0
Struttura di ricovero,"Pazienti
presenti^",Δ paz. presenti,"Negativizzati
virologici
attualmente
ricoverati**",dimessi dal 21.2,"decessi dal
21.2*",Δ decessi,
Ospedale di Comunità Belluno (BL),15,+1),0,16,7,0,
Ospedale di Comunità  Agordo (BL),18,+3),2,6,1,0,
Ospedale di Comunità di Castelfranco  (TV),3,+1),0,1,0,0,
Struttura COVID - Vedelago (TV),20,-7,1,18,3,0,
Struttura COVID - Ormelle (TV),7,-7,4,20,4,0,
Ospedale di Comunità Vittorio Veneto (TV),27,+3),10,22,2,0,
Ospedale di Comunità SS. Giovanni e Paolo (VE),1,0,1,0,0,0,
Ospedale di Comunità Casa di Cura Rizzola (VE),9,-1,3,4,0,0,
Ospedale di Cinto Caomaggiore (VE),2,+1),2,0,0,0,
Ospedale di Comunità Villa Maria (PD),11,0,5,18,1,0,
Ospedale di Comunità Camposampiero (PD),9,+1),4,12,0,0,
Ospedale di Comunità Marostica (VI),17,+2),1,6,2,0,
