"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-ospedale)
-dato
cumulativo","Negativizzati
virologici -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 27.04
ore 20.00)"
Padova (escluso domiciliati Vo'),3748,+9),1173,234,2341,1108,
Cluster domiciliati Comune di Vò,88,0,5,3,80,,
Treviso,2483,+7),1107,252,1124,1389,
Venezia,2418,+52),818,200,1400,852,
Verona,4556,+30),2926,403,1227,1317,
Vicenza,2596,+25),1427,204,965,1387,
Belluno,1061,+1),655,72,334,1248,
Rovigo,424,+2),272,29,123,585,
Domicilio fuori Veneto,284,+2),169,10,105,,
Assegnazione in corso,50,+1),49,1,0,,
Struttura di ricovero,"Pazienti  in AREA
NON CRITICA^","Δ area non
critica","Pazienti in
TERAPIA
INTENSIVA ^",Δ Ter Int,"Negativizzati
virologici
attualmente
ricoverati**","dimessi dal
21.2","decessi dal
21.2*",Δ decessi
Azienda Ospedale Università Padova,56,-4,12,0,31,280,58,+1)
Ospedale Sant'Antonio,0,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",29,-10,10,0,11,194,105,+2)
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",14,-1,11,0,4,68,28,0
ULSS 1 - Ospedale Belluno,40,-4,6,0,1,66,39,+4)
ULSS 1 - Ospedale Feltre,0,0,0,0,0,12,6,0
ULSS 2 - Ospedale Treviso,22,+1),7,-1,5,203,98,0
ULSS 2 - Ospedale Oderzo,6,0,3,0,4,18,18,0
ULSS 2 - Ospedale Conegliano,4,0,0,0,0,16,20,0
ULSS 2 - Ospedale Vittorio Veneto °,56,0,6,0,22,162,28,0
ULSS 2 - Ospedale Castelfranco,3,0,0,0,0,38,8,0
ULSS 2 - Ospedale Montebelluna,13,0,0,0,4,47,12,0
Ospedale S. Camillo-Treviso °,18,0,0,0,6,40,4,0
Ospedale Riabilitativo  Motta di Livenza - Treviso,8,0,0,0,8,0,0,0
ULSS 3 - Ospedale Mestre,16,-2,3,0,13,73,38,+1)
ULSS 3 - Ospedale Venezia,6,0,0,0,6,25,14,0
ULSS 3 - Ospedale Mirano,0,-1,1,+1),1,9,9,0
ULSS 3 - Ospedale Dolo °,78,-2,6,0,26,86,67,+2)
ULSS 3 - Ospedale Chioggia,1,0,0,0,1,1,3,0
Ospedale Villa Salus-Mestre °,49,+1),0,0,14,71,5,0
ULSS 4 - Ospedale Jesolo °,31,0,4,0,15,70,24,0
Casa di Cura Rizzola,4,0,0,0,1,14,1,0
ULSS 5 - Ospedale Rovigo,1,0,0,0,1,22,5,0
ULSS 5 - Ospedale Trecenta °,36,-3,4,0,11,15,23,+1)
ULSS 5 - Ospedale Adria,2,0,0,0,2,1,0,0
ULSS 6 - Ospedale Schiavonia °,85,-10,6,+1),8,223,92,+1)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,1,+1),0,0,0,2,7,0
ULSS 6 - Ospedale Camposampiero,4,0,0,0,4,2,7,0
ULSS 6 - Ospedale Conselve,1,0,0,0,1,0,0,0
ULSS 7 - Ospedale Santorso °,105,0,9,0,40,134,55,0
ULSS 7 - Ospedale Bassano,0,0,0,0,0,20,13,0
ULSS 7 - Ospedale Asiago,2,0,0,0,1,7,10,0
ULSS 8 - Ospedale Vicenza,50,+3),11,-2,12,94,75,+2)
ULSS 8 - Ospedale Noventa Vicentina,17,0,0,0,3,36,1,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,8,-2,0,0,3,21,5,0
ULSS 9 - Ospedale Legnago,30,-2,6,-1,14,57,46,0
ULSS 9 - Ospedale San Bonifacio,2,-1,0,0,0,21,24,+1)
ULSS 9 - Ospedale Villafranca °,83,-9,8,-1,11,130,77,+1)
ULSS 9 - Ospedale Marzana,69,+9),0,0,34,18,3,0
ULSS 9 - Ospedale Bussolengo,25,+2),0,0,13,26,3,0
ULSS 9 - Ospedale San Biagio di Bovolone,3,+3),0,0,3,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,40,0,6,0,14,110,31,0
Ospedale P. Pederzoli-Peschiera,46,-1,1,0,7,75,38,+2)
Istituto Oncologico Veneto,3,0,0,0,3,0,0,0
TOTALE REGIONE VENETO,1067,-32,120,-3,358,2508,1102,+18),
Struttura di ricovero,"Pazienti
presenti^",Δ paz. presenti,"Negativizzati
virologici
attualmente
ricoverati**",dimessi dal 21.2,"decessi dal
21.2*",Δ decessi,
Ospedale di Comunità Belluno (BL),19,0,0,18,10,0,
Ospedale di Comunità  Agordo (BL),29,-2,5,10,1,0,
Ospedale di Comunità di Castelfranco  (TV),1,0,0,3,0,0,
Struttura COVID - Vedelago (TV),18,0,11,23,3,0,
Struttura COVID - Ormelle (TV),6,0,3,20,4,0,
Ospedale di Comunità Vittorio Veneto (TV),4,0,2,28,2,0,
Ospedale di Comunità Casa di Cura Rizzola (VE),6,0,4,4,1,0,
Ospedale di Cinto Caomaggiore (VE),2,0,2,0,0,0,
Ospedale di Comunità Villa Maria (PD),9,0,4,25,1,0,
Ospedale di Comunità Camposampiero (PD),12,+1),7,12,0,0,
Ospedale di Comunità Marostica (VI),17,-2,1,8,2,0,
